MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,57,7.472232|7.000000|1.000000,0.026244401931762695,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,69929648128.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,58,7.472232|7.000000|1.000000,0.026867389678955078,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,94804303872.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,59,7.472232|7.000000|1.000000,0.02759408950805664,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,63604699136.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,60,7.472232|7.000000|1.000000,0.02624225616455078,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,76286312448.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,61,7.472232|7.000000|1.000000,0.026716232299804688,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,54882242560.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,62,7.472232|7.000000|1.000000,0.02635502815246582,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,36025741312.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,63,7.472232|7.000000|1.000000,0.026944875717163086,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,66417430528.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,64,7.472232|7.000000|1.000000,0.02642679214477539,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,65815248896.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,65,7.472232|7.000000|1.000000,0.025937795639038086,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,59579473920.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,66,7.472232|7.000000|1.000000,0.02610635757446289,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,66993229824.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,67,7.472232|7.000000|1.000000,0.02623748779296875,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,93615267840.000000,N/A,2,5
