MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,56,9.489357|3.000000|0.000000,9.41744089126587,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,57,9.489357|3.000000|0.000000,9.544262886047363,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,58,9.489357|3.000000|0.000000,9.4426109790802,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,59,9.489357|3.000000|0.000000,9.521557092666626,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,60,9.489357|3.000000|0.000000,9.410132884979248,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,61,9.489357|3.000000|0.000000,9.490525960922241,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,62,9.489357|3.000000|0.000000,9.32958173751831,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,63,9.489357|3.000000|0.000000,9.34842586517334,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,64,9.489357|3.000000|0.000000,9.651465892791748,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,65,9.489357|3.000000|0.000000,9.730529069900513,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,66,9.489357|3.000000|0.000000,9.489933729171753,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,67,9.489357|3.000000|0.000000,9.567931890487671,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,68,9.489357|3.000000|0.000000,9.656936168670654,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,69,9.489357|3.000000|0.000000,9.333720922470093,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,70,9.489357|3.000000|0.000000,9.343908309936523,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,71,9.489357|3.000000|0.000000,9.605359077453613,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,72,9.489357|3.000000|0.000000,9.523385763168335,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,73,9.489357|3.000000|0.000000,9.662209033966064,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,74,9.489357|3.000000|0.000000,9.585278034210205,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,75,9.489357|3.000000|0.000000,9.79768705368042,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,76,9.489357|3.000000|0.000000,9.29601001739502,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,77,9.489357|3.000000|0.000000,9.415717124938965,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,78,9.489357|3.000000|0.000000,9.337564945220947,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,79,9.489357|3.000000|0.000000,9.322638988494873,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,80,9.489357|3.000000|0.000000,9.391896963119507,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,81,9.489357|3.000000|0.000000,9.406251907348633,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,82,9.489357|3.000000|0.000000,9.324764966964722,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,83,9.489357|3.000000|0.000000,9.547825813293457,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,84,9.489357|3.000000|0.000000,9.312015056610107,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,85,9.489357|3.000000|0.000000,9.673383951187134,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,86,9.489357|3.000000|0.000000,9.279075860977173,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,87,9.489357|3.000000|0.000000,9.376566886901855,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
