MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,61,4.541265|3.000000,0.01946425437927246,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,103060176896.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,62,4.541265|3.000000,0.0196380615234375,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,86281879552.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,63,4.541265|3.000000,0.01977825164794922,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,84974739456.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,64,4.541265|3.000000,0.01890873908996582,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,69451890688.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,65,4.541265|3.000000,0.019056320190429688,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,106091806720.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,66,4.541265|3.000000,0.01886296272277832,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,98661515264.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,67,4.541265|3.000000,0.0195770263671875,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,59375943680.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,68,4.541265|3.000000,0.018713951110839844,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,86142648320.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,69,4.541265|3.000000,0.018890857696533203,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,111116795904.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,70,4.541265|3.000000,0.01941823959350586,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,122554892288.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,71,4.541265|3.000000,0.019432783126831055,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,111180218368.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,72,4.541265|3.000000,0.020061969757080078,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,111315427328.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,73,4.541265|3.000000,0.020100116729736328,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,88776425472.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,74,4.541265|3.000000,0.020180702209472656,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,80096116736.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,75,4.541265|3.000000,0.019822120666503906,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,75051622400.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,76,4.541265|3.000000,0.01969003677368164,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,96274161664.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,77,4.541265|3.000000,0.019623517990112305,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,85140488192.000000,N/A,1,5
