MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,93,4.633978|3.000000,0.018859386444091797,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,93505421312.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,94,4.633978|3.000000,0.018746137619018555,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,110395129856.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,95,4.633978|3.000000,0.01999211311340332,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,116658151424.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,96,4.633978|3.000000,0.057530879974365234,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,71896080384.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,97,4.633978|3.000000,0.019538164138793945,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,43206828032.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,98,4.633978|3.000000,0.019426345825195312,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,105599819776.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,99,4.633978|3.000000,0.01964259147644043,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,111644442624.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,100,4.633978|3.000000,0.019516468048095703,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,102755188736.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,101,4.633978|3.000000,0.01898813247680664,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,102,4.633978|3.000000,0.01867389678955078,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,96323084288.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,103,4.633978|3.000000,0.01974034309387207,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,137613246464.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,104,4.633978|3.000000,0.01970815658569336,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,86276874240.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,105,4.633978|3.000000,0.019539356231689453,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,110372839424.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,106,4.633978|3.000000,0.019446372985839844,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,116552253440.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,107,4.633978|3.000000,0.018196821212768555,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,59067.160156,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,108,4.633978|3.000000,0.01910996437072754,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,93750960128.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,109,4.633978|3.000000,0.019702911376953125,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,110,4.633978|3.000000,0.0201416015625,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,105544458240.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,111,4.633978|3.000000,0.019945621490478516,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,130975088640.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,112,4.633978|3.000000,0.01985788345336914,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,107408220160.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,113,4.633978|3.000000,0.018639564514160156,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,67991863296.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,114,4.633978|3.000000,0.01874089241027832,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,7287756800.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,115,4.633978|3.000000,0.019179105758666992,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,21403672576.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,116,4.633978|3.000000,0.019171476364135742,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,84307099648.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,117,4.633978|3.000000,0.01914381980895996,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,116601143296.000000,N/A,1,5
