MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,68,4.610571|3.000000,5.187000036239624,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,69,4.610571|3.000000,5.135028839111328,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,70,4.610571|3.000000,5.3105010986328125,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,71,4.610571|3.000000,5.094828128814697,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,72,4.610571|3.000000,5.212357759475708,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,73,4.610571|3.000000,5.153162002563477,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,74,4.610571|3.000000,5.1471498012542725,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,75,4.610571|3.000000,5.051267147064209,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,76,4.610571|3.000000,5.037880182266235,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,77,4.610571|3.000000,5.279397010803223,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,78,4.610571|3.000000,5.107369899749756,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,79,4.610571|3.000000,5.106967926025391,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,80,4.610571|3.000000,5.226682186126709,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,81,4.610571|3.000000,5.009283065795898,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,82,4.610571|3.000000,5.109729051589966,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,83,4.610571|3.000000,5.083966016769409,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,84,4.610571|3.000000,4.999328851699829,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,85,4.610571|3.000000,5.1811439990997314,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
