MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,75,6.744547|7.000000|2.000000,0.026043415069580078,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,65358503936.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,76,6.744547|7.000000|2.000000,0.025500774383544922,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,95571247104.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,77,6.744547|7.000000|2.000000,0.026705026626586914,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,76158427136.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,78,6.744547|7.000000|2.000000,0.026655197143554688,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,66030002176.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,79,6.744547|7.000000|2.000000,0.026712417602539062,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,133599780864.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,80,6.744547|7.000000|2.000000,0.02665877342224121,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,61437874176.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,81,6.744547|7.000000|2.000000,0.026777029037475586,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,86231252992.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,82,6.744547|7.000000|2.000000,0.025897502899169922,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,95610380288.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,83,6.744547|7.000000|2.000000,0.026374340057373047,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,79864799232.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,84,6.744547|7.000000|2.000000,0.02659463882446289,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,86106218496.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,85,6.744547|7.000000|2.000000,0.027131080627441406,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,46533783552.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,86,6.744547|7.000000|2.000000,0.025986433029174805,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,74710122496.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,87,6.744547|7.000000|2.000000,0.026111602783203125,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,90936238080.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,88,6.744547|7.000000|2.000000,0.02656722068786621,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,70043721728.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,89,6.744547|7.000000|2.000000,0.02637648582458496,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,94252523520.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,90,6.744547|7.000000|2.000000,0.026322364807128906,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,91060699136.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,91,6.744547|7.000000|2.000000,0.027714014053344727,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,111939584000.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,92,6.744547|7.000000|2.000000,0.02624654769897461,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,66010963968.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,93,6.744547|7.000000|2.000000,0.02599167823791504,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,74167902208.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,94,6.744547|7.000000|2.000000,0.026948928833007812,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,87746756608.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,95,6.744547|7.000000|2.000000,0.026566267013549805,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,109504495616.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,96,6.744547|7.000000|2.000000,0.02762293815612793,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,78785167360.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,97,6.744547|7.000000|2.000000,0.025788307189941406,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,76761382912.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,98,6.744547|7.000000|2.000000,0.026434659957885742,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,74468245504.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,99,6.744547|7.000000|2.000000,0.025956392288208008,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,58224758784.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,100,6.744547|7.000000|2.000000,0.02600240707397461,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,47583825920.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,101,6.744547|7.000000|2.000000,0.026502370834350586,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,44270555136.000000,N/A,2,5
