MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,60,8.113361|3.000000,4.590955018997192,3.0,7.558832|3.000000,6.401815|5.000000,5,0.207710,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,61,8.113361|3.000000,4.828326225280762,3.0,7.558832|3.000000,6.401815|5.000000,5,0.207710,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,62,8.113361|3.000000,4.613390922546387,3.0,7.558832|3.000000,6.401815|5.000000,5,0.207710,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,63,8.113361|3.000000,4.7008750438690186,3.0,7.558832|3.000000,6.401815|5.000000,5,0.235920,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,64,8.113361|3.000000,4.799012184143066,3.0,7.558832|3.000000,6.401815|5.000000,5,0.235920,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,65,8.113361|3.000000,4.6151978969573975,3.0,7.558832|3.000000,6.401815|5.000000,5,0.272368,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,66,8.113361|3.000000,4.863900899887085,3.0,7.558832|3.000000,6.401815|5.000000,5,0.313728,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,67,8.113361|3.000000,4.601195812225342,3.0,7.558832|3.000000,6.401815|5.000000,5,0.323115,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,68,8.113361|3.000000,4.467440128326416,3.0,7.558832|3.000000,6.401815|5.000000,5,0.373887,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,69,8.113361|3.000000,4.508962869644165,3.0,7.558832|3.000000,6.401815|5.000000,5,0.466003,N/A,5
