MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,41,4.585071|3.000000,0.01884770393371582,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,107029823488.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,42,4.585071|3.000000,0.01880192756652832,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,99520086016.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,43,4.585071|3.000000,0.02015399932861328,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,116682686464.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,44,4.585071|3.000000,0.019566774368286133,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,93903650816.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,45,4.585071|3.000000,0.019221782684326172,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,93612720128.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,46,4.585071|3.000000,0.019170761108398438,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,105508880384.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,47,4.585071|3.000000,0.019407987594604492,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,39391113216.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,48,4.585071|3.000000,0.01997542381286621,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,103219994624.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,49,4.585071|3.000000,0.01920294761657715,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,66511097856.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,50,4.585071|3.000000,0.01999068260192871,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,124093120512.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,51,4.585071|3.000000,0.01863861083984375,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,65917624320.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,52,4.585071|3.000000,0.0193023681640625,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,96129024000.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,53,4.585071|3.000000,0.019999265670776367,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,107901132800.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,54,4.585071|3.000000,0.01881265640258789,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,82556354560.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,55,4.585071|3.000000,0.019407987594604492,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,60628881408.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,56,4.585071|3.000000,0.019126415252685547,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,73921200128.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,57,4.585071|3.000000,0.02023625373840332,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,108110061568.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,58,4.585071|3.000000,0.019490480422973633,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,50950557696.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,59,4.585071|3.000000,0.019383907318115234,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,99889061888.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,60,4.585071|3.000000,0.018821239471435547,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,60830629888.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,61,4.585071|3.000000,0.019477367401123047,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,92864765952.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,62,4.585071|3.000000,0.019484996795654297,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,70537388032.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,63,4.585071|3.000000,0.019340991973876953,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,49938489344.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,64,4.585071|3.000000,0.019391775131225586,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,70585180160.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,65,4.585071|3.000000,0.019289731979370117,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,87246372864.000000,N/A,1,5
