MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,55,6.970441|7.000000|2.000000,0.0260012149810791,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,16062720000.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,56,6.970441|7.000000|2.000000,0.027490854263305664,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,73621544960.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,57,6.970441|7.000000|2.000000,0.026266813278198242,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,54438957056.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,58,6.970441|7.000000|2.000000,0.02683091163635254,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,98033549312.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,59,6.970441|7.000000|2.000000,0.027101755142211914,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,103906893824.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,60,6.970441|7.000000|2.000000,0.026036977767944336,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,68986339328.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,61,6.970441|7.000000|2.000000,0.026709318161010742,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,67793833984.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,62,6.970441|7.000000|2.000000,0.026536226272583008,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,106133741568.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,63,6.970441|7.000000|2.000000,0.02665257453918457,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,71803125760.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,64,6.970441|7.000000|2.000000,0.02716851234436035,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,53534822400.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,65,6.970441|7.000000|2.000000,0.025812387466430664,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,57136123904.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,66,6.970441|7.000000|2.000000,0.02636861801147461,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,85071486976.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,67,6.970441|7.000000|2.000000,0.02637648582458496,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,71551344640.000000,N/A,2,5
