MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,86,4.598747|3.000000,0.019070863723754883,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,86281543680.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,87,4.598747|3.000000,0.01898670196533203,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,100303978496.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,88,4.598747|3.000000,0.018891334533691406,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,76729466880.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,89,4.598747|3.000000,0.01932501792907715,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,74900316160.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,90,4.598747|3.000000,0.019342899322509766,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,82172936192.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,91,4.598747|3.000000,0.019036531448364258,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,82711060480.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,92,4.598747|3.000000,0.020676374435424805,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,118188539904.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,93,4.598747|3.000000,0.018712282180786133,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,111956606976.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,94,4.598747|3.000000,0.01871466636657715,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,95720742912.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,95,4.598747|3.000000,0.020169973373413086,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,128636608512.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,96,4.598747|3.000000,0.01957082748413086,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,82555977728.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,97,4.598747|3.000000,0.01883983612060547,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,85334573056.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,98,4.598747|3.000000,0.019499540328979492,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,108080046080.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,99,4.598747|3.000000,0.019222259521484375,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,21973497856.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,100,4.598747|3.000000,0.0200958251953125,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,92887425024.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,101,4.598747|3.000000,0.01854848861694336,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,49937350656.000000,N/A,1,5
