MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,56,2152.517090|7.000000|1.000000,0.12271904945373535,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,68914561024.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,57,2152.517090|7.000000|1.000000,0.11121606826782227,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,61794607104.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,58,2152.517090|7.000000|1.000000,0.12909865379333496,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,3409535488.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,59,2152.517090|7.000000|1.000000,0.12684893608093262,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,74613080064.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,60,2152.517090|7.000000|1.000000,0.13338828086853027,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,47828520960.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,61,2152.517090|7.000000|1.000000,0.12462425231933594,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,71661944832.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,62,2152.517090|7.000000|1.000000,0.11232566833496094,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,3210407424.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,63,2152.517090|7.000000|1.000000,0.10947608947753906,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,86816702464.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,64,2152.517090|7.000000|1.000000,0.06469225883483887,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,69470093312.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,65,2152.517090|7.000000|1.000000,0.11415719985961914,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,9433777152.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,66,2152.517090|7.000000|1.000000,0.12413883209228516,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,46709432.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,67,2152.517090|7.000000|1.000000,0.14568734169006348,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,78584340480.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,68,2152.517090|7.000000|1.000000,0.1262528896331787,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,87041269760.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,69,2152.517090|7.000000|1.000000,0.12657380104064941,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,68051111936.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,70,2152.517090|7.000000|1.000000,0.1069955825805664,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,49937461248.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,71,2152.517090|7.000000|1.000000,0.1311173439025879,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,94271766528.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,72,2152.517090|7.000000|1.000000,0.131195068359375,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,67679109120.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,73,2152.517090|7.000000|1.000000,0.06439518928527832,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,14974108672.000000,N/A,5
