MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,56,4.507786|3.000000|1.000000,0.027786731719970703,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,63424434176.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,57,4.507786|3.000000|1.000000,0.026610612869262695,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,23969505280.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,58,4.507786|3.000000|1.000000,0.027085065841674805,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,91294687232.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,59,4.507786|3.000000|1.000000,0.02688741683959961,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,99529064448.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,60,4.507786|3.000000|1.000000,0.027016162872314453,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,93882212352.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,61,4.507786|3.000000|1.000000,0.026013612747192383,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,69408301056.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,62,4.507786|3.000000|1.000000,0.02670145034790039,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,72146509824.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,63,4.507786|3.000000|1.000000,0.027250051498413086,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,14862705664.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,64,4.507786|3.000000|1.000000,0.02682352066040039,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,49937469440.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,65,4.507786|3.000000|1.000000,0.02610945701599121,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,13571.577148,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,66,4.507786|3.000000|1.000000,0.02612161636352539,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,86060916736.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,67,4.507786|3.000000|1.000000,0.02655935287475586,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,77309534208.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,68,4.507786|3.000000|1.000000,0.02695751190185547,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,65886085120.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,69,4.507786|3.000000|1.000000,0.026836872100830078,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,60955344896.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,70,4.507786|3.000000|1.000000,0.027834415435791016,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,123225055232.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,71,4.507786|3.000000|1.000000,0.026241540908813477,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,51272581120.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,72,4.507786|3.000000|1.000000,0.026194334030151367,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,83315531776.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,73,4.507786|3.000000|1.000000,0.026399612426757812,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,49937469440.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,74,4.507786|3.000000|1.000000,0.02782130241394043,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,103563583488.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,75,4.507786|3.000000|1.000000,0.026013851165771484,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,74520608768.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,76,4.507786|3.000000|1.000000,0.026590824127197266,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,89615122432.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,77,4.507786|3.000000|1.000000,0.027387380599975586,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,70011346944.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,78,4.507786|3.000000|1.000000,0.02762746810913086,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,109053157376.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,79,4.507786|3.000000|1.000000,0.027484893798828125,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,88439545856.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,80,4.507786|3.000000|1.000000,0.027841567993164062,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,101947375616.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,81,4.507786|3.000000|1.000000,0.02689194679260254,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,110646386688.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,82,4.507786|3.000000|1.000000,0.02640843391418457,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,81457700864.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,83,4.507786|3.000000|1.000000,0.027459144592285156,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,79566118912.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,84,4.507786|3.000000|1.000000,0.027330875396728516,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,49937469440.000000,N/A,2,5
