MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,78,2234.413574|3.000000,0.021111726760864258,3.0,2349.744385|3.000000,2233.854736|7.000000,2515.830078|7.000000,7,59379961856.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,79,2234.413574|3.000000,0.020142078399658203,3.0,2349.744385|3.000000,2185.779053|7.000000,2333.546143|7.000000,7,28841486336.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,80,2234.413574|3.000000,0.02146291732788086,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,6985307136.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,81,2234.413574|3.000000,0.023276090621948242,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,37662871552.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,82,2234.413574|3.000000,0.019733905792236328,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,11523507200.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,83,2234.413574|3.000000,0.020208358764648438,3.0,2349.744385|3.000000,2145.409180|7.000000,2323.567383|7.000000,7,54556299264.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,84,2234.413574|3.000000,0.09368228912353516,3.0,2349.744385|3.000000,2231.230469|7.000000,2343.446777|7.000000,7,61589254144.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,85,2234.413574|3.000000,0.0204470157623291,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,47320731648.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,86,2234.413574|3.000000,0.025204181671142578,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,81979318272.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,87,2234.413574|3.000000,0.020603179931640625,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,61809963008.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,88,2234.413574|3.000000,0.02289104461669922,3.0,2349.744385|3.000000,2168.035400|7.000000,2446.362793|7.000000,7,42280439808.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,89,2234.413574|3.000000,0.021130084991455078,3.0,2349.744385|3.000000,2162.107910|7.000000,2458.383789|7.000000,7,1889.847412,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,90,2234.413574|3.000000,0.019603252410888672,3.0,2349.744385|3.000000,2165.763916|7.000000,2248.655518|7.000000,7,45152014336.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,91,2234.413574|3.000000,0.021661758422851562,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,62543949824.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,92,2234.413574|3.000000,0.019735097885131836,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,57711468544.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,93,2234.413574|3.000000,0.031224966049194336,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,11734211584.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,94,2234.413574|3.000000,0.021181106567382812,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,8148.279785,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,95,2234.413574|3.000000,0.02651500701904297,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,51022389248.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,96,2234.413574|3.000000,0.028072834014892578,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,27225.761719,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,97,2234.413574|3.000000,0.02095484733581543,3.0,2349.744385|3.000000,2182.530273|7.000000,2421.053711|7.000000,7,6774749696.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,98,2234.413574|3.000000,0.027231216430664062,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,66975657984.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,99,2234.413574|3.000000,0.01860499382019043,3.0,2349.744385|3.000000,2232.515137|7.000000,2478.293945|7.000000,7,3911405056.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,100,2234.413574|3.000000,0.0223691463470459,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,6060087.500000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,101,2234.413574|3.000000,0.019559144973754883,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,65107771392.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,102,2234.413574|3.000000,0.019134044647216797,3.0,2349.744385|3.000000,2215.779541|7.000000,2375.832520|7.000000,7,39696420864.000000,N/A,5
