MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,80,8.148417|7.000000|1.000000,0.02712082862854004,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,104887074816.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,81,8.148417|7.000000|1.000000,0.026739120483398438,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,67851382784.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,82,8.148417|7.000000|1.000000,0.02597808837890625,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,73950511104.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,83,8.148417|7.000000|1.000000,0.026371240615844727,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,63761838080.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,84,8.148417|7.000000|1.000000,0.026662826538085938,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,35502419968.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,85,8.148417|7.000000|1.000000,0.02694559097290039,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,86,8.148417|7.000000|1.000000,0.02636432647705078,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,94705287168.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,87,8.148417|7.000000|1.000000,0.026108741760253906,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,68980883456.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,88,8.148417|7.000000|1.000000,0.02680063247680664,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,57884725248.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,89,8.148417|7.000000|1.000000,0.026738405227661133,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,78595432448.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,90,8.148417|7.000000|1.000000,0.02590155601501465,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,102132105216.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,91,8.148417|7.000000|1.000000,0.027462482452392578,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,97719910400.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,92,8.148417|7.000000|1.000000,0.026868343353271484,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,109430333440.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,93,8.148417|7.000000|1.000000,0.02628803253173828,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,71722827776.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,94,8.148417|7.000000|1.000000,0.026569366455078125,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,60741390336.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,95,8.148417|7.000000|1.000000,0.02704477310180664,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,82046222336.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,96,8.148417|7.000000|1.000000,0.02803802490234375,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,120004100096.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,97,8.148417|7.000000|1.000000,0.026941776275634766,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,119751360512.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,98,8.148417|7.000000|1.000000,0.025945186614990234,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,25124782080.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,99,8.148417|7.000000|1.000000,0.026430130004882812,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,69757542400.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,100,8.148417|7.000000|1.000000,0.026192665100097656,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,77970571264.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,101,8.148417|7.000000|1.000000,0.02638554573059082,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,58122067968.000000,N/A,2,5
