MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,38,7.334017|7.000000|2.000000,0.026074647903442383,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,29910745088.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,39,7.334017|7.000000|2.000000,0.026655912399291992,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,36927057920.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,40,7.334017|7.000000|2.000000,0.02565479278564453,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,75545780224.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,41,7.334017|7.000000|2.000000,0.02661871910095215,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,92623331328.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,42,7.334017|7.000000|2.000000,0.026155948638916016,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,82473992192.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,43,7.334017|7.000000|2.000000,0.027940750122070312,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,84009238528.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,44,7.334017|7.000000|2.000000,0.027306556701660156,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,119873961984.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,45,7.334017|7.000000|2.000000,0.026238441467285156,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,81968283648.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,46,7.334017|7.000000|2.000000,0.02771282196044922,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,89555689472.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,47,7.334017|7.000000|2.000000,0.026646137237548828,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,117349023744.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,48,7.334017|7.000000|2.000000,0.026287317276000977,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,25246091264.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,49,7.334017|7.000000|2.000000,0.02686023712158203,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,98198306816.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,50,7.334017|7.000000|2.000000,0.026710033416748047,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,94266687488.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,51,7.334017|7.000000|2.000000,0.026797056198120117,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,23663341568.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,52,7.334017|7.000000|2.000000,0.02634143829345703,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,79242002432.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,53,7.334017|7.000000|2.000000,0.02738475799560547,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,108434440192.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,54,7.334017|7.000000|2.000000,0.02634739875793457,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,66545901568.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,55,7.334017|7.000000|2.000000,0.06359100341796875,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,48869392384.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,56,7.334017|7.000000|2.000000,0.027236461639404297,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,45075296256.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,57,7.334017|7.000000|2.000000,0.02643585205078125,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,62270115840.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,58,7.334017|7.000000|2.000000,0.027159452438354492,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,93722656768.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,59,7.334017|7.000000|2.000000,0.02749800682067871,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,49182482432.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,60,7.334017|7.000000|2.000000,0.026189088821411133,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,48811405312.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,61,7.334017|7.000000|2.000000,0.02743816375732422,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,50745614336.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,62,7.334017|7.000000|2.000000,0.026854515075683594,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,185229.406250,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,63,7.334017|7.000000|2.000000,0.02677321434020996,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,97242316800.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,64,7.334017|7.000000|2.000000,0.02667975425720215,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,107126906880.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,65,7.334017|7.000000|2.000000,0.026106834411621094,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,63794692096.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,66,7.334017|7.000000|2.000000,0.026392221450805664,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,73946300416.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,67,7.334017|7.000000|2.000000,0.02645730972290039,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,58780831744.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,68,7.334017|7.000000|2.000000,0.02649712562561035,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,61097279488.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,69,7.334017|7.000000|2.000000,0.02637505531311035,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,58351898624.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,70,7.334017|7.000000|2.000000,0.02710700035095215,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,93071990784.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,71,7.334017|7.000000|2.000000,0.027187824249267578,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,83428663296.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,72,7.334017|7.000000|2.000000,0.025325775146484375,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,38334197760.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,73,7.334017|7.000000|2.000000,0.026706457138061523,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,16998395904.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,74,7.334017|7.000000|2.000000,0.02769923210144043,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,91895644160.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,75,7.334017|7.000000|2.000000,0.026025056838989258,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,72713502720.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,76,7.334017|7.000000|2.000000,0.02566075325012207,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,85894807552.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,77,7.334017|7.000000|2.000000,0.027048110961914062,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,98059132928.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,78,7.334017|7.000000|2.000000,0.02643299102783203,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,103843135488.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,79,7.334017|7.000000|2.000000,0.026877641677856445,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,48453189632.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,80,7.334017|7.000000|2.000000,0.0267331600189209,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,84604854272.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,81,7.334017|7.000000|2.000000,0.02684640884399414,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,110564122624.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,82,7.334017|7.000000|2.000000,0.025942564010620117,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,71245348864.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,83,7.334017|7.000000|2.000000,0.026887893676757812,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,62865801216.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,84,7.334017|7.000000|2.000000,0.026415109634399414,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,31371694080.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,85,7.334017|7.000000|2.000000,0.027729272842407227,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,111318417408.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,86,7.334017|7.000000|2.000000,0.025957822799682617,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,91406614528.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,87,7.334017|7.000000|2.000000,0.02579951286315918,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,55736467456.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,88,7.334017|7.000000|2.000000,0.0269467830657959,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,114433531904.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,89,7.334017|7.000000|2.000000,0.02651810646057129,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,55679664128.000000,N/A,2,5
