MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,74,2033.626953|7.000000,0.022418975830078125,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,70081011712.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,75,2033.626953|7.000000,0.021771669387817383,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,60704215040.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,76,2033.626953|7.000000,0.0213472843170166,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,37106159616.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,77,2033.626953|7.000000,0.023707866668701172,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,21063553024.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,78,2033.626953|7.000000,0.021397829055786133,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,54908616704.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,79,2033.626953|7.000000,0.020694732666015625,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,21621383168.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,80,2033.626953|7.000000,0.02223801612854004,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,49784041472.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,81,2033.626953|7.000000,0.022217988967895508,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,27747340288.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,82,2033.626953|7.000000,0.02216482162475586,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,48230825984.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,83,2033.626953|7.000000,0.020845413208007812,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,70569336832.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,84,2033.626953|7.000000,0.022957324981689453,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,59963297792.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,85,2033.626953|7.000000,0.022132396697998047,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,63099121664.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,86,2033.626953|7.000000,0.0221097469329834,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,78017961984.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,87,2033.626953|7.000000,0.02158379554748535,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,3913254912.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,88,2033.626953|7.000000,0.023123979568481445,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,2044266880.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,89,2033.626953|7.000000,0.02373361587524414,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,82130345984.000000,N/A,2,5
