MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,93,4.534750|3.000000,0.01837325096130371,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,53851348992.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,94,4.534750|3.000000,0.018707752227783203,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111139430400.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,95,4.534750|3.000000,0.020374298095703125,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,95437160448.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,96,4.534750|3.000000,0.0192568302154541,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,83439525888.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,97,4.534750|3.000000,0.018783092498779297,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,62978838528.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,98,4.534750|3.000000,0.01952362060546875,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,91817091072.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,99,4.534750|3.000000,0.019251346588134766,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,70533414912.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,100,4.534750|3.000000,0.019972801208496094,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,123915108352.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,101,4.534750|3.000000,0.0185549259185791,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,86191341568.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,102,4.534750|3.000000,0.019154071807861328,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,90157072384.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,103,4.534750|3.000000,0.01933741569519043,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,90987069440.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,104,4.534750|3.000000,0.019907236099243164,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,116628373504.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,105,4.534750|3.000000,0.019605159759521484,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,123188912128.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,106,4.534750|3.000000,0.019348621368408203,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,103336984576.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,107,4.534750|3.000000,0.01907038688659668,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,82780258304.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,108,4.534750|3.000000,0.018514156341552734,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,23765286912.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,109,4.534750|3.000000,0.019324779510498047,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,43155271680.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,110,4.534750|3.000000,0.0205078125,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,127074566144.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,111,4.534750|3.000000,0.0199892520904541,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,108402040832.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,112,4.534750|3.000000,0.019648075103759766,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111101067264.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,113,4.534750|3.000000,0.01864767074584961,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,96466190336.000000,N/A,1,5
