MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,62,4.448025|3.000000|1.000000,0.02676701545715332,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,55338680320.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,63,4.448025|3.000000|1.000000,0.02719855308532715,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,71596589056.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,64,4.448025|3.000000|1.000000,0.026462554931640625,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,24110723072.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,65,4.448025|3.000000|1.000000,0.0263364315032959,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,73576366080.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,66,4.448025|3.000000|1.000000,0.026113033294677734,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,65748271104.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,67,4.448025|3.000000|1.000000,0.026790142059326172,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,102883655680.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,68,4.448025|3.000000|1.000000,0.02686452865600586,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,69441372160.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,69,4.448025|3.000000|1.000000,0.02680063247680664,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,93718052864.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,70,4.448025|3.000000|1.000000,0.028057098388671875,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,99606118400.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,71,4.448025|3.000000|1.000000,0.026312828063964844,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,105845366784.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,72,4.448025|3.000000|1.000000,0.025990009307861328,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,98434465792.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,73,4.448025|3.000000|1.000000,0.027785778045654297,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,101501001728.000000,N/A,2,5
