MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,86,3.868472|7.000000,0.020647525787353516,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,78436745216.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,87,3.868472|7.000000,0.018827199935913086,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,99498573824.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,88,3.868472|7.000000,0.018677234649658203,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,106114195456.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,89,3.868472|7.000000,0.019359827041625977,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,70537134080.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,90,3.868472|7.000000,0.019107341766357422,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,84745519104.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,91,3.868472|7.000000,0.019282817840576172,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,28207853568.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,92,3.868472|7.000000,0.020333051681518555,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,37387116544.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,93,3.868472|7.000000,0.019055604934692383,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,66433716224.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,94,3.868472|7.000000,0.018612384796142578,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,84905222144.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,95,3.868472|7.000000,0.020163774490356445,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,85241618432.000000,N/A,2,5
