MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,50,4.605806|3.000000|1.000000,0.026511669158935547,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,83285598208.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,51,4.605806|3.000000|1.000000,0.02754068374633789,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,104167456768.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,52,4.605806|3.000000|1.000000,0.027446508407592773,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,136107253760.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,53,4.605806|3.000000|1.000000,0.026627779006958008,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,130113748992.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,54,4.605806|3.000000|1.000000,0.027338504791259766,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,57628258304.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,55,4.605806|3.000000|1.000000,0.026190757751464844,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,92697559040.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,56,4.605806|3.000000|1.000000,0.027590036392211914,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,65675468800.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,57,4.605806|3.000000|1.000000,0.026523113250732422,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,99807887360.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,58,4.605806|3.000000|1.000000,0.02752542495727539,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,121551241216.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,59,4.605806|3.000000|1.000000,0.02682638168334961,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,82361368576.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,60,4.605806|3.000000|1.000000,0.02686285972595215,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,125108453376.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,61,4.605806|3.000000|1.000000,0.026379823684692383,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,79712518144.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,62,4.605806|3.000000|1.000000,0.026448965072631836,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,23039830016.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,63,4.605806|3.000000|1.000000,0.026983022689819336,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,99519234048.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,64,4.605806|3.000000|1.000000,0.026470422744750977,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,82649153536.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,65,4.605806|3.000000|1.000000,0.025936365127563477,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,85252980736.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,66,4.605806|3.000000|1.000000,0.02628469467163086,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,79712509952.000000,N/A,2,5
