MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,72,4.659552|3.000000|1.000000,0.026152849197387695,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,73880535040.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,73,4.659552|3.000000|1.000000,0.027608394622802734,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,74472906752.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,74,4.659552|3.000000|1.000000,0.027645587921142578,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,101727207424.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,75,4.659552|3.000000|1.000000,0.025409698486328125,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,62455697408.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,76,4.659552|3.000000|1.000000,0.026853084564208984,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,66303537152.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,77,4.659552|3.000000|1.000000,0.027225255966186523,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,87144603648.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,78,4.659552|3.000000|1.000000,0.027429580688476562,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,117213937664.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,79,4.659552|3.000000|1.000000,0.026959896087646484,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,99498835968.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,80,4.659552|3.000000|1.000000,0.027670621871948242,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,93885095936.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,81,4.659552|3.000000|1.000000,0.02605295181274414,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,128141844480.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,82,4.659552|3.000000|1.000000,0.02661752700805664,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,111906955264.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,83,4.659552|3.000000|1.000000,0.02746725082397461,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,115802292224.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,84,4.659552|3.000000|1.000000,0.027027368545532227,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,82863562752.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,85,4.659552|3.000000|1.000000,0.026839733123779297,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,78927003648.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,86,4.659552|3.000000|1.000000,0.026210546493530273,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,118394650624.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,87,4.659552|3.000000|1.000000,0.027948856353759766,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,94706319360.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,88,4.659552|3.000000|1.000000,0.026618003845214844,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,89,4.659552|3.000000|1.000000,0.027142047882080078,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,68981186560.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,90,4.659552|3.000000|1.000000,0.02599334716796875,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,91,4.659552|3.000000|1.000000,0.026938438415527344,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,97333846016.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,92,4.659552|3.000000|1.000000,0.02695465087890625,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,24148654080.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,93,4.659552|3.000000|1.000000,0.026567935943603516,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,1355521.875000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,94,4.659552|3.000000|1.000000,0.027446269989013672,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,96760512512.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,95,4.659552|3.000000|1.000000,0.026657819747924805,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,48383909888.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,96,4.659552|3.000000|1.000000,0.027129173278808594,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,120964907008.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,97,4.659552|3.000000|1.000000,0.02663421630859375,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,70533332992.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,98,4.659552|3.000000|1.000000,0.02625131607055664,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,61258543104.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,99,4.659552|3.000000|1.000000,0.0262753963470459,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,96799891456.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,100,4.659552|3.000000|1.000000,0.026386499404907227,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,49967919104.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,101,4.659552|3.000000|1.000000,0.028568029403686523,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,111508307968.000000,N/A,2,5
