MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,35,8.088946|7.000000|1.000000,0.02609992027282715,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,84048084992.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,36,8.088946|7.000000|1.000000,0.027488231658935547,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,86780157952.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,37,8.088946|7.000000|1.000000,0.026417016983032227,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,25318934528.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,38,8.088946|7.000000|1.000000,0.02559638023376465,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,105251635200.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,39,8.088946|7.000000|1.000000,0.026386499404907227,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,110258044928.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,40,8.088946|7.000000|1.000000,0.026102542877197266,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,78426685440.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,41,7.700258|23.000000|3.000000,0.026886701583862305,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,41913921536.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,42,7.700258|23.000000|3.000000,0.02619194984436035,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,63114743808.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,43,7.700258|23.000000|3.000000,0.02753162384033203,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,73916768256.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,44,7.700258|23.000000|3.000000,0.02653670310974121,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,126278860800.000000,N/A,2,5
