MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,102,4.559990|3.000000,5.097046136856079,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,103,4.559990|3.000000,4.979609727859497,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,104,4.559990|3.000000,5.132561922073364,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,105,4.559990|3.000000,5.057201147079468,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,106,4.559990|3.000000,5.262120962142944,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,107,4.559990|3.000000,4.9474828243255615,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,108,4.559990|3.000000,5.105963945388794,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,109,4.559990|3.000000,5.361985683441162,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,110,4.559990|3.000000,5.447866201400757,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,111,4.559990|3.000000,5.426561117172241,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,112,4.559990|3.000000,5.199236154556274,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,113,4.559990|3.000000,5.365968942642212,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,114,4.559990|3.000000,5.093574047088623,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,115,4.559990|3.000000,5.089201927185059,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,116,4.559990|3.000000,5.013015270233154,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
