MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,60,7.764309|7.000000|1.000000,0.026404142379760742,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,66489561088.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,61,7.764309|7.000000|1.000000,0.02669215202331543,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,71104135168.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,62,7.764309|7.000000|1.000000,0.026407480239868164,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,106201497600.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,63,7.764309|7.000000|1.000000,0.027099609375,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,72134844416.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,64,7.764309|7.000000|1.000000,0.027173280715942383,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,54269652992.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,65,7.764309|7.000000|1.000000,0.025516033172607422,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,49083768832.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,66,7.764309|7.000000|1.000000,0.026534557342529297,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,87112048640.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,67,7.764309|7.000000|1.000000,0.026471614837646484,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,77246464000.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,68,7.764309|7.000000|1.000000,0.026221275329589844,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,34251763712.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,69,7.764309|7.000000|1.000000,0.026560306549072266,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,77323059200.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,70,7.764309|7.000000|1.000000,0.027135133743286133,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,70067183616.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,71,7.764309|7.000000|1.000000,0.027149677276611328,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,99900669952.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,72,7.764309|7.000000|1.000000,0.025508642196655273,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,65378467840.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,73,7.764309|7.000000|1.000000,0.026584148406982422,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,62812463104.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,74,7.764309|7.000000|1.000000,0.02719593048095703,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,83611959296.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,75,7.764309|7.000000|1.000000,0.02631068229675293,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,105624150016.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,76,7.764309|7.000000|1.000000,0.02561211585998535,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,84746076160.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,77,7.764309|7.000000|1.000000,0.026787519454956055,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,94746279936.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,78,7.764309|7.000000|1.000000,0.02683401107788086,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,45455073280.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,79,7.764309|7.000000|1.000000,0.0268402099609375,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,103742111744.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,80,7.764309|7.000000|1.000000,0.026971817016601562,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,55074586624.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,81,7.764309|7.000000|1.000000,0.026840686798095703,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,71823204352.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,82,7.764309|7.000000|1.000000,0.025860071182250977,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,70254698496.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,83,7.764309|7.000000|1.000000,0.026538372039794922,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,68307980288.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,84,7.764309|7.000000|1.000000,0.026774883270263672,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,26279016448.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,85,7.764309|7.000000|1.000000,0.02745842933654785,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,87273086976.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,86,7.764309|7.000000|1.000000,0.02568340301513672,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,80158056448.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,87,7.764309|7.000000|1.000000,0.02574014663696289,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,37255491584.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,88,7.764309|7.000000|1.000000,0.026593446731567383,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,83720929280.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,89,7.764309|7.000000|1.000000,0.02674579620361328,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,85304696832.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,90,7.764309|7.000000|1.000000,0.026268959045410156,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,72846278656.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,91,7.764309|7.000000|1.000000,0.027505874633789062,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,79042134016.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,92,7.764309|7.000000|1.000000,0.02681112289428711,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,108620701696.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,93,7.764309|7.000000|1.000000,0.026538610458374023,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,65897078784.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,94,7.764309|7.000000|1.000000,0.02658367156982422,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,59814195200.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,95,7.764309|7.000000|1.000000,0.02709364891052246,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,97151672320.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,96,7.764309|7.000000|1.000000,0.027884483337402344,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,109135421440.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,97,7.764309|7.000000|1.000000,0.026206016540527344,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,114034655232.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,98,7.764309|7.000000|1.000000,0.02600407600402832,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,64985546752.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,99,7.764309|7.000000|1.000000,0.02616739273071289,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,87961755648.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,100,7.764309|7.000000|1.000000,0.026241540908813477,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,36159254528.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,101,7.764309|7.000000|1.000000,0.026690959930419922,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,70003384320.000000,N/A,2,5
