MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,89,4.337151|3.000000,0.01893758773803711,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,79229050880.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,90,4.337151|3.000000,0.019024133682250977,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,1391055.500000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,91,4.337151|3.000000,0.019593000411987305,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,70533242880.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,92,4.337151|3.000000,0.019820690155029297,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,105750249472.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,93,4.337151|3.000000,0.018868207931518555,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,86278422528.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,94,4.337151|3.000000,0.01904010772705078,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,100682768384.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,95,4.337151|3.000000,0.01987004280090332,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,114087739392.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,96,4.337151|3.000000,0.019004344940185547,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,49948098560.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,97,4.337151|3.000000,0.018845558166503906,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,86229024768.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,98,4.337151|3.000000,0.01916646957397461,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,13000436736.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,99,4.337151|3.000000,0.019185304641723633,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,111114887168.000000,N/A,1,5
