MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,51,4.610571|3.000000|1.000000,0.027673721313476562,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,104207679488.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,52,4.610571|3.000000|1.000000,0.02755570411682129,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,136290402304.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,53,4.610571|3.000000|1.000000,0.026859760284423828,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,130632622080.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,54,4.610571|3.000000|1.000000,0.02752065658569336,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,57418563584.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,55,4.610571|3.000000|1.000000,0.026196718215942383,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,93241098240.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,56,4.610571|3.000000|1.000000,0.027521610260009766,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,67624521728.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,57,4.610571|3.000000|1.000000,0.02678847312927246,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,99946225664.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,58,4.610571|3.000000|1.000000,0.027591705322265625,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,121551273984.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,59,4.610571|3.000000|1.000000,0.027057886123657227,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,81803608064.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,60,4.610571|3.000000|1.000000,0.027065515518188477,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,125692444672.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,61,4.610571|3.000000|1.000000,0.026404380798339844,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,80030187520.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,62,4.610571|3.000000|1.000000,0.026526927947998047,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,23489728512.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,63,4.610571|3.000000|1.000000,0.02718043327331543,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,99517734912.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,64,4.610571|3.000000|1.000000,0.026583194732666016,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,82446696448.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,65,4.610571|3.000000|1.000000,0.026369571685791016,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,85307170816.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,66,4.610571|3.000000|1.000000,0.026368379592895508,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,80030179328.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,67,4.610571|3.000000|1.000000,0.026800870895385742,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,94320582656.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,68,4.610571|3.000000|1.000000,0.026743650436401367,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,100968374272.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,69,4.610571|3.000000|1.000000,0.027044057846069336,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,95491915776.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,70,4.610571|3.000000|1.000000,0.027988910675048828,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,127859712000.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,71,4.610571|3.000000|1.000000,0.026026010513305664,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,115979280384.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,72,4.610571|3.000000|1.000000,0.026195049285888672,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,73662873600.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,73,4.610571|3.000000|1.000000,0.027720928192138672,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,74500866048.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,74,4.610571|3.000000|1.000000,0.02767801284790039,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,101479596032.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,75,4.610571|3.000000|1.000000,0.02563643455505371,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,62714548224.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,76,4.610571|3.000000|1.000000,0.026871204376220703,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,65460273152.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,77,4.610571|3.000000|1.000000,0.027281761169433594,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,87053942784.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,78,4.610571|3.000000|1.000000,0.02778458595275879,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,117289697280.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,79,4.610571|3.000000|1.000000,0.026961088180541992,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,99497926656.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,80,4.610571|3.000000|1.000000,0.027880191802978516,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,93789249536.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,81,4.610571|3.000000|1.000000,0.026480674743652344,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,128337518592.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,82,4.610571|3.000000|1.000000,0.02684926986694336,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,111726149632.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,83,4.610571|3.000000|1.000000,0.027629852294921875,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,115821559808.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,84,4.610571|3.000000|1.000000,0.0272061824798584,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,82192269312.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,85,4.610571|3.000000|1.000000,0.026853322982788086,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,78546362368.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,86,4.610571|3.000000|1.000000,0.026358366012573242,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,118061932544.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,87,4.610571|3.000000|1.000000,0.028217077255249023,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,94900420608.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,88,4.610571|3.000000|1.000000,0.026467323303222656,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,89,4.610571|3.000000|1.000000,0.02732706069946289,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,69048778752.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,90,4.610571|3.000000|1.000000,0.026469945907592773,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,91,4.610571|3.000000|1.000000,0.026880264282226562,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,97213906944.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,92,4.610571|3.000000|1.000000,0.027059078216552734,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,24236953600.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,93,4.610571|3.000000|1.000000,0.026652097702026367,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,1364270.375000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,94,4.610571|3.000000|1.000000,0.027480363845825195,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,97112809472.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,95,4.610571|3.000000|1.000000,0.026944398880004883,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,48239935488.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,96,4.610571|3.000000|1.000000,0.027512788772583008,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,120907956224.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,97,4.610571|3.000000|1.000000,0.02662944793701172,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,70533332992.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,98,4.610571|3.000000|1.000000,0.026618003845214844,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,61334036480.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,99,4.610571|3.000000|1.000000,0.026569604873657227,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,96561782784.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,100,4.610571|3.000000|1.000000,0.026381969451904297,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,49969164288.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,101,4.610571|3.000000|1.000000,0.028590917587280273,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,111925035008.000000,N/A,2,5
