MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,57,4.565099|3.000000|1.000000,0.026680469512939453,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,53435527168.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,58,4.565099|3.000000|1.000000,0.027104616165161133,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,122694172672.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,59,4.565099|3.000000|1.000000,0.026660680770874023,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,90512424960.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,60,4.565099|3.000000|1.000000,0.026906967163085938,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,75738669056.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,61,4.565099|3.000000|1.000000,0.026135683059692383,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,49937457152.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,62,4.565099|3.000000|1.000000,0.02664804458618164,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,75722153984.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,63,4.565099|3.000000|1.000000,0.027127742767333984,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,269929632.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,64,4.565099|3.000000|1.000000,0.02664470672607422,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,49961054208.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,65,4.565099|3.000000|1.000000,0.02603888511657715,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,49997512704.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,66,4.565099|3.000000|1.000000,0.02622199058532715,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,70571622400.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,67,4.565099|3.000000|1.000000,0.027248620986938477,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,102897606656.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,68,4.565099|3.000000|1.000000,0.02684926986694336,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,108241534976.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,69,4.565099|3.000000|1.000000,0.02670741081237793,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,85415387136.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,70,4.565099|3.000000|1.000000,0.027917146682739258,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,107712913408.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,71,4.565099|3.000000|1.000000,0.026050090789794922,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,98425126912.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,72,4.565099|3.000000|1.000000,0.026468753814697266,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,86277120000.000000,N/A,2,5
