MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,54,4.338696|7.000000|1.000000,0.05117225646972656,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,105199861760.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,55,4.338696|7.000000|1.000000,0.052240610122680664,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,61664243712.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,56,4.338696|7.000000|1.000000,0.10267376899719238,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,71051591680.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,57,4.338696|7.000000|1.000000,0.052165985107421875,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,38110453760.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,58,4.338696|7.000000|1.000000,0.0653085708618164,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,116813848576.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,59,4.338696|7.000000|1.000000,0.06804752349853516,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,119556587520.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,60,4.338696|7.000000|1.000000,0.06681060791015625,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,111038562304.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,61,4.338696|7.000000|1.000000,0.0532841682434082,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,69441626112.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,62,4.338696|7.000000|1.000000,0.06474709510803223,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,89952075776.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,63,4.338696|7.000000|1.000000,0.06545710563659668,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,37760655360.000000,N/A,2,5
