MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,90,4.521828|3.000000|1.000000,0.026332378387451172,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,91,4.521828|3.000000|1.000000,0.026785612106323242,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,97315561472.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,92,4.521828|3.000000|1.000000,0.02692699432373047,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,23837046784.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,93,4.521828|3.000000|1.000000,0.02656269073486328,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,1431183.375000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,94,4.521828|3.000000|1.000000,0.027318954467773438,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,96686702592.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,95,4.521828|3.000000|1.000000,0.0267641544342041,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,48288538624.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,96,4.521828|3.000000|1.000000,0.027118444442749023,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,120926912512.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,97,4.521828|3.000000|1.000000,0.02651357650756836,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,70533316608.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,98,4.521828|3.000000|1.000000,0.02621912956237793,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,60993585152.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,99,4.521828|3.000000|1.000000,0.026399850845336914,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,96918757376.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,100,4.521828|3.000000|1.000000,0.0262453556060791,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,49973350400.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,101,4.521828|3.000000|1.000000,0.02839517593383789,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,111496364032.000000,N/A,2,5
