MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,53,4.610571|3.000000,0.019525766372680664,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,132680802304.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,54,4.610571|3.000000,0.01921701431274414,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,66408456192.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,55,4.610571|3.000000,0.01964569091796875,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,75329527808.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,56,4.610571|3.000000,0.018594026565551758,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86800957440.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,57,4.610571|3.000000,0.0202181339263916,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,82948669440.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,58,4.610571|3.000000,0.019463062286376953,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86314475520.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,59,4.610571|3.000000,0.01923823356628418,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,136823087104.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,60,4.610571|3.000000,0.018701553344726562,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,82192031744.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,61,4.610571|3.000000,0.01935410499572754,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,70567313408.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,62,4.610571|3.000000,0.018492937088012695,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,106351239168.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,63,4.610571|3.000000,0.0195925235748291,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,62972121088.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,64,4.610571|3.000000,0.019254207611083984,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,38064214016.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,65,4.610571|3.000000,0.018615007400512695,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86276063232.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,66,4.610571|3.000000,0.018961668014526367,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,4752193536.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,67,4.610571|3.000000,0.019906044006347656,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,114797248512.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,68,4.610571|3.000000,0.01947641372680664,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,120871649280.000000,N/A,1,5
