MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,75,8.538268|7.000000|1.000000,0.026174068450927734,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,73088770048.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,76,8.538268|7.000000|1.000000,0.025635719299316406,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,89667919872.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,77,8.538268|7.000000|1.000000,0.0265655517578125,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,71051771904.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,78,8.538268|7.000000|1.000000,0.026664257049560547,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,61895225344.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,79,8.538268|7.000000|1.000000,0.026782512664794922,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,73902505984.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,80,8.538268|7.000000|1.000000,0.02702021598815918,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,90408312832.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,81,8.538268|7.000000|1.000000,0.027053117752075195,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,98613133312.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,82,8.538268|7.000000|1.000000,0.025861740112304688,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,79426977792.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,83,8.538268|7.000000|1.000000,0.02645254135131836,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,70174588928.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,84,8.538268|7.000000|1.000000,0.026582002639770508,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,78163714048.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,85,8.538268|7.000000|1.000000,0.02729964256286621,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,75805147136.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,86,8.538268|7.000000|1.000000,0.025971412658691406,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,80076005376.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,87,8.538268|7.000000|1.000000,0.026248455047607422,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,64428752896.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,88,8.492427|7.000000|1.000000,0.026940345764160156,7.0,8.528852|7.000000|1.000000,8.492427|7.000000|1.000000,8.528852|7.000000|1.000000,7,103765352448.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,89,7.098561|7.000000|2.000000,0.026570796966552734,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,91718877184.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,90,7.098561|7.000000|2.000000,0.02593088150024414,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,102895443968.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,91,7.098561|7.000000|2.000000,0.027678489685058594,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,72996659200.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,92,7.098561|7.000000|2.000000,0.026707172393798828,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,72435015680.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,93,7.098561|7.000000|2.000000,0.026422500610351562,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,72923496448.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,94,7.098561|7.000000|2.000000,0.026792287826538086,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,69076746240.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,95,7.098561|7.000000|2.000000,0.027222156524658203,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,78165884928.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,96,7.098561|7.000000|2.000000,0.02800440788269043,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,119866171392.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,97,7.098561|7.000000|2.000000,0.02658390998840332,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,114805219328.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,98,7.098561|7.000000|2.000000,0.02611994743347168,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,41509453824.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,99,7.098561|7.000000|2.000000,0.026403188705444336,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,73476243456.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,100,7.098561|7.000000|2.000000,0.026220083236694336,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,78678360064.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,101,7.098561|7.000000|2.000000,0.026839733123779297,7.0,7.098826|7.000000|2.000000,7.098561|7.000000|2.000000,7.098826|7.000000|2.000000,7,58813034496.000000,N/A,2,5
