MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,83,4.659552|3.000000,0.018863439559936523,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,84,4.659552|3.000000,0.01964282989501953,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,41226817536.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,85,4.659552|3.000000,0.019938945770263672,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,119305093120.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,86,4.659552|3.000000,0.02048325538635254,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,130336710656.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,87,4.543731|5.000000,0.01894402503967285,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,82863996928.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,88,4.543731|5.000000,0.018460988998413086,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,95124029440.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,89,4.543731|5.000000,0.019245386123657227,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,113482801152.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,90,4.543731|5.000000,0.019081592559814453,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,87851712512.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,91,4.543731|5.000000,0.019092082977294922,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,81755504640.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,92,4.543731|5.000000,0.020536184310913086,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,80021069824.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,93,4.543731|5.000000,0.019209623336791992,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,13629130752.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,94,4.543731|5.000000,0.01887059211730957,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,49937387520.000000,N/A,2,5
