MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,68,2259.319580|9.000000,0.022487401962280273,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,47658831872.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,69,2259.319580|9.000000,0.0220639705657959,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,15154528256.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,70,2259.319580|9.000000,0.021625280380249023,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,62619521024.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,71,2259.319580|9.000000,0.021802663803100586,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,27169269760.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,72,2259.319580|9.000000,0.021471261978149414,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,1869.783447,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,73,2259.319580|9.000000,0.02187943458557129,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,58088562688.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,74,2259.319580|9.000000,0.02198648452758789,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,339.719116,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,75,2259.319580|9.000000,0.021851062774658203,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,54399066112.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,76,2259.319580|9.000000,0.020669221878051758,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,50213060608.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,77,2234.597412|7.000000,0.020874977111816406,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,63402958848.000000,N/A,2,5
