MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,80,4.585071|3.000000|1.000000,0.02774500846862793,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,93468352512.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,81,4.585071|3.000000|1.000000,0.02638983726501465,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,128159670272.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,82,4.585071|3.000000|1.000000,0.02665877342224121,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,111511068672.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,83,4.585071|3.000000|1.000000,0.02757430076599121,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,115782754304.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,84,4.585071|3.000000|1.000000,0.027268171310424805,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,82416615424.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,85,4.585071|3.000000|1.000000,0.026656627655029297,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,78458265600.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,86,4.585071|3.000000|1.000000,0.0264279842376709,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,118033571840.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,87,4.585071|3.000000|1.000000,0.02850818634033203,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,94754996224.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,88,4.585071|3.000000|1.000000,0.026458024978637695,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,89,4.585071|3.000000|1.000000,0.027184486389160156,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,69385863168.000000,N/A,2,5
