MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,38,4.605806|3.000000,0.020077228546142578,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,133222121472.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,39,4.605806|3.000000,0.01813197135925293,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,118125780992.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,40,4.605806|3.000000,0.019284486770629883,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,133593841664.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,41,4.605806|3.000000,0.01885390281677246,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,98635857920.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,42,4.605806|3.000000,0.01917719841003418,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,118381543424.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,43,4.605806|3.000000,0.01965045928955078,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,69140848640.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,44,4.605806|3.000000,0.01943683624267578,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,113001938944.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,45,4.605806|3.000000,0.019063234329223633,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,98384789504.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,46,4.605806|3.000000,0.018880844116210938,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,82528575488.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,47,4.605806|3.000000,0.019572734832763672,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,101153652736.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,48,4.605806|3.000000,0.020060300827026367,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,117818220544.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,49,4.605806|3.000000,0.019307374954223633,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,83559620608.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,50,4.605806|3.000000,0.019667863845825195,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,87667318784.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,51,4.605806|3.000000,0.018933773040771484,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,105095962624.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,52,4.605806|3.000000,0.019299030303955078,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,94833000448.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,53,4.605806|3.000000,0.02010488510131836,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,122646134784.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,54,4.605806|3.000000,0.018874168395996094,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,96931512320.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,55,4.605806|3.000000,0.019135713577270508,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,73155207168.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,56,4.605806|3.000000,0.01980304718017578,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,124579848192.000000,N/A,1,5
