MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,81,8.243773|7.000000|1.000000,0.026651620864868164,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,94643855360.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,82,8.243773|7.000000|1.000000,0.025780916213989258,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,118370320384.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,83,8.243773|7.000000|1.000000,0.026421070098876953,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,67895652352.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,84,8.243773|7.000000|1.000000,0.02649545669555664,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,77712252928.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,85,8.243773|7.000000|1.000000,0.027070283889770508,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,83241992192.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,86,8.243773|7.000000|1.000000,0.026030540466308594,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,65718833152.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,87,8.243773|7.000000|1.000000,0.025786399841308594,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,61665492992.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,88,8.243773|7.000000|1.000000,0.026789426803588867,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,114967363584.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,89,8.243773|7.000000|1.000000,0.02602243423461914,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,30325606400.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,90,8.243773|7.000000|1.000000,0.026201248168945312,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,83911647232.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,91,8.243773|7.000000|1.000000,0.027810335159301758,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,33420742656.000000,N/A,2,5
