MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,45,4.495635|3.000000,0.019350051879882812,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,83680116736.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,46,4.495635|3.000000,0.01863861083984375,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,49940303872.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,47,4.495635|3.000000,0.019222021102905273,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,78898323456.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,48,4.495635|3.000000,0.019837617874145508,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,104402452480.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,49,4.495635|3.000000,0.019176244735717773,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,107578523648.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,50,4.495635|3.000000,0.019699573516845703,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,80429375488.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,51,4.495635|3.000000,0.018431663513183594,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,69171462144.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,52,4.495635|3.000000,0.01922750473022461,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,80142360576.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,53,4.495635|3.000000,0.019742250442504883,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,72023113728.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,54,4.495635|3.000000,0.019349098205566406,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,92001705984.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,55,4.495635|3.000000,0.018790006637573242,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,83279888384.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,56,4.495635|3.000000,0.019606590270996094,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,144345595904.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,57,4.495635|3.000000,0.019597530364990234,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,107614183424.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,58,4.495635|3.000000,0.019484519958496094,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,83490881536.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,59,4.495635|3.000000,0.01883411407470703,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,57826193408.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,60,4.495635|3.000000,0.019090890884399414,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,87142719488.000000,N/A,1,5
