MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,69,4.337151|3.000000|1.000000,0.027347803115844727,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,100405551104.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,70,4.337151|3.000000|1.000000,0.027302265167236328,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,105455501312.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,71,4.337151|3.000000|1.000000,0.026030302047729492,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,86277169152.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,72,4.337151|3.000000|1.000000,0.026104450225830078,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,117025964032.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,73,4.337151|3.000000|1.000000,0.02652287483215332,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,105900998656.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,74,4.337151|3.000000|1.000000,0.027409076690673828,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,102540271616.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,75,4.337151|3.000000|1.000000,0.025277137756347656,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,70533693440.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,76,4.337151|3.000000|1.000000,0.026926279067993164,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,94376173568.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,77,4.337151|3.000000|1.000000,0.06396055221557617,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,100204437504.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,78,4.337151|3.000000|1.000000,0.028325557708740234,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,109605429248.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,79,4.337151|3.000000|1.000000,0.02688121795654297,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,99497263104.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,80,4.337151|3.000000|1.000000,0.027451515197753906,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,124347162624.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,81,4.337151|3.000000|1.000000,0.026251792907714844,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,114664407040.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,82,4.337151|3.000000|1.000000,0.026241302490234375,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,86278733824.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,83,4.337151|3.000000|1.000000,0.027469396591186523,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,121922772992.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,84,4.337151|3.000000|1.000000,0.02706766128540039,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,116841619456.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,85,4.337151|3.000000|1.000000,0.026499032974243164,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,86284935168.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,86,4.337151|3.000000|1.000000,0.026513099670410156,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,86055337984.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,87,4.337151|3.000000|1.000000,0.02761101722717285,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,146895224832.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,88,4.337151|3.000000|1.000000,0.026287317276000977,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,121550168064.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,89,4.337151|3.000000|1.000000,0.027662992477416992,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,51657134080.000000,N/A,2,5
