MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,89,4.477321|3.000000,0.019325971603393555,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,82465710080.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,90,4.477321|3.000000,0.01886606216430664,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,50005803008.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,91,4.477321|3.000000,0.0190427303314209,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,98776711168.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,92,4.477321|3.000000,0.02041792869567871,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,96485064704.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,93,4.477321|3.000000,0.01863718032836914,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,61364629504.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,94,4.477321|3.000000,0.01993870735168457,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,122247143424.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,95,4.477321|3.000000,0.02012944221496582,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,128956768256.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,96,4.477321|3.000000,0.01910686492919922,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,70540197888.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,97,4.477321|3.000000,0.018316984176635742,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,87090610176.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,98,4.477321|3.000000,0.019517898559570312,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,49995911168.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,99,4.477321|3.000000,0.01888298988342285,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,121552486400.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,100,4.477321|3.000000,0.01999974250793457,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,113110597632.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,101,4.477321|3.000000,0.01830744743347168,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,65812189184.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,102,4.477321|3.000000,0.019306421279907227,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,93119479808.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,103,4.477321|3.000000,0.019450902938842773,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,119292461056.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,104,4.477321|3.000000,0.01957845687866211,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,106695000064.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,105,4.477321|3.000000,0.019741535186767578,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,86682222592.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,106,4.477321|3.000000,0.019652843475341797,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,63113740288.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,107,4.477321|3.000000,0.018890857696533203,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,109811449856.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,108,4.477321|3.000000,0.018606185913085938,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,61409447936.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,109,4.477321|3.000000,0.01904749870300293,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,106512924672.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,110,4.477321|3.000000,0.020333051681518555,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,113645535232.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,111,4.477321|3.000000,0.019707679748535156,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,82696552448.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,112,4.477321|3.000000,0.019601106643676758,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,114523176960.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,113,4.477321|3.000000,0.018520832061767578,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,80272211968.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,114,4.477321|3.000000,0.018671512603759766,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,66399510528.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,115,4.477321|3.000000,0.01908588409423828,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,94684209152.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,116,4.477321|3.000000,0.01901841163635254,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,93977993216.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,117,4.477321|3.000000,0.01916790008544922,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,135643725824.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,118,4.477321|3.000000,0.019320249557495117,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,131124445184.000000,N/A,1,5
