MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,47,10.493176|3.000000,4.789535045623779,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,48,10.493176|3.000000,5.029378175735474,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,49,10.493176|3.000000,4.875773906707764,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,50,10.493176|3.000000,4.9057700634002686,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,51,10.493176|3.000000,4.75139307975769,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,52,10.493176|3.000000,4.837369918823242,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,53,10.493176|3.000000,4.941005229949951,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,54,10.493176|3.000000,4.888303995132446,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,55,10.493176|3.000000,4.83013391494751,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,56,10.493176|3.000000,4.894000768661499,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,57,10.493176|3.000000,4.812124967575073,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,58,10.493176|3.000000,4.985026121139526,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,59,10.493176|3.000000,4.75000786781311,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,60,10.493176|3.000000,4.874650955200195,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,61,10.493176|3.000000,4.805175065994263,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,62,10.493176|3.000000,5.054112911224365,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,63,10.493176|3.000000,4.81400203704834,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,64,10.493176|3.000000,4.811482906341553,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,65,10.493176|3.000000,4.795652151107788,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,66,10.493176|3.000000,4.889075994491577,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,67,10.493176|3.000000,4.922780752182007,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,68,10.493176|3.000000,4.799324989318848,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,69,10.493176|3.000000,4.919341087341309,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,70,10.493176|3.000000,4.858850955963135,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,71,10.493176|3.000000,5.037308216094971,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,72,10.493176|3.000000,4.887712001800537,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,73,10.493176|3.000000,5.012774229049683,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,74,10.493176|3.000000,4.887996196746826,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,75,10.493176|3.000000,4.759267807006836,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,76,10.493176|3.000000,4.834630966186523,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,77,10.493176|3.000000,5.017823934555054,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,78,10.493176|3.000000,4.9567906856536865,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,79,10.493176|3.000000,4.764761924743652,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,80,10.493176|3.000000,4.81585693359375,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,81,10.493176|3.000000,4.949119806289673,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,82,10.493176|3.000000,4.850593090057373,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,83,10.493176|3.000000,4.859488010406494,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,84,10.493176|3.000000,4.864786863327026,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,85,10.493176|3.000000,4.997344970703125,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,86,10.493176|3.000000,4.922809839248657,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,87,10.493176|3.000000,4.882396221160889,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,88,10.493176|3.000000,4.887479066848755,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,89,10.493176|3.000000,4.763947010040283,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,90,10.493176|3.000000,4.805087089538574,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
