MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,38,4.484513|3.000000|1.000000,0.04947853088378906,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,99498631168.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,39,4.484513|3.000000|1.000000,0.049619197845458984,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,93719003136.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,40,4.484513|3.000000|1.000000,0.06673717498779297,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,141737639936.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,41,4.484513|3.000000|1.000000,0.08316516876220703,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,139993612288.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,42,4.484513|3.000000|1.000000,0.08143830299377441,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,94607736832.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,43,4.484513|3.000000|1.000000,0.05175518989562988,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,101653905408.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,44,4.484513|3.000000|1.000000,0.04947948455810547,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,58808082432.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,45,4.484513|3.000000|1.000000,0.15132355690002441,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,131065593856.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,46,4.484513|3.000000|1.000000,0.06552505493164062,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,120546721792.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,47,4.484513|3.000000|1.000000,0.06674981117248535,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,97840627712.000000,N/A,2,5
