MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,61,8.030987|7.000000|1.000000,0.027101755142211914,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,87322722304.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,62,8.030987|7.000000|1.000000,0.027013301849365234,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,69038030848.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,63,8.030987|7.000000|1.000000,0.026580333709716797,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,54548197376.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,64,8.030987|7.000000|1.000000,0.02671051025390625,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,57240875008.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,65,8.030987|7.000000|1.000000,0.02594304084777832,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,62179721216.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,66,8.030987|7.000000|1.000000,0.02631211280822754,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,74693353472.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,67,8.030987|7.000000|1.000000,0.026531696319580078,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,99955310592.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,68,8.030987|7.000000|1.000000,0.02640509605407715,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,49039327232.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,69,8.030987|7.000000|1.000000,0.02632880210876465,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,57420992512.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,70,8.030987|7.000000|1.000000,0.02722954750061035,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,69535916032.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,71,8.030987|7.000000|1.000000,0.02715158462524414,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,83817848832.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,72,8.030987|7.000000|1.000000,0.02552199363708496,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,116143398912.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,73,8.030987|7.000000|1.000000,0.026227235794067383,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,28721559552.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,74,8.030987|7.000000|1.000000,0.0279080867767334,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,99416793088.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,75,8.030987|7.000000|1.000000,0.026189327239990234,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,62508580864.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,76,8.030987|7.000000|1.000000,0.025880098342895508,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,78280769536.000000,N/A,2,5
