MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,84,4.448025|3.000000,0.019800424575805664,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,117585428480.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,85,4.448025|3.000000,0.01962113380432129,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,87523213312.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,86,4.448025|3.000000,0.021007537841796875,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,119488004096.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,87,4.448025|3.000000,0.018893718719482422,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,25130913792.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,88,4.448025|3.000000,0.018232345581054688,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,71642882048.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,89,4.448025|3.000000,0.019210338592529297,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,100575584256.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,90,4.448025|3.000000,0.019308805465698242,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,70577479680.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,91,4.448025|3.000000,0.018829345703125,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,98728943616.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,92,4.448025|3.000000,0.02026224136352539,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,95915278336.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,93,4.448025|3.000000,0.01927495002746582,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,95698665472.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,94,4.448025|3.000000,0.01857280731201172,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,118864666624.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,95,4.448025|3.000000,0.0199582576751709,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,137475948544.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,96,4.448025|3.000000,0.019115924835205078,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,78781366272.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,97,4.448025|3.000000,0.01876974105834961,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,89723092992.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,98,4.448025|3.000000,0.019056320190429688,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,537172.187500,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,99,4.448025|3.000000,0.019527196884155273,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,102927228928.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,100,4.448025|3.000000,0.020210981369018555,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,103332044800.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,101,4.448025|3.000000,0.019495248794555664,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,102,4.448025|3.000000,0.019294023513793945,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,78695104512.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,103,4.448025|3.000000,0.05558013916015625,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,128949673984.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,104,4.448025|3.000000,0.019587278366088867,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,123778793472.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,105,4.448025|3.000000,0.01955890655517578,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,100117880832.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,106,4.448025|3.000000,0.019535303115844727,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,62410338304.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,107,4.448025|3.000000,0.01804184913635254,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,49937457152.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,108,4.448025|3.000000,0.018545866012573242,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,88891670528.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,109,4.448025|3.000000,0.019351959228515625,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,111148032000.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,110,4.448025|3.000000,0.020273447036743164,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,91036409856.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,111,4.448025|3.000000,0.020347118377685547,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,108102393856.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,112,4.448025|3.000000,0.019858598709106445,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,52275523584.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,113,4.448025|3.000000,0.018161773681640625,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,85971943424.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,114,4.448025|3.000000,0.019073009490966797,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,83291881472.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,115,4.448025|3.000000,0.01877450942993164,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,62307418112.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,116,4.448025|3.000000,0.019281387329101562,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,71361421312.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,117,4.448025|3.000000,0.019129514694213867,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,114639560704.000000,N/A,1,5
