MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,85,4.559990|3.000000,0.019660234451293945,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,62158438400.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,86,4.559990|3.000000,0.0211029052734375,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,143553691648.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,87,4.559990|3.000000,0.01918768882751465,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,69727215616.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,88,4.559990|3.000000,0.019004106521606445,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,105291784192.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,89,4.559990|3.000000,0.019185781478881836,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,117325029376.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,90,4.559990|3.000000,0.01933574676513672,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,72103141376.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,91,4.559990|3.000000,0.019154071807861328,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,99498745856.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,92,4.559990|3.000000,0.02015089988708496,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,111101575168.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,93,4.559990|3.000000,0.018777847290039062,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,70533644288.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,94,4.559990|3.000000,0.0187532901763916,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,46446141440.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,95,4.559990|3.000000,0.020248889923095703,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,137631924224.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,96,4.559990|3.000000,0.01911020278930664,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,98802892800.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,97,4.559990|3.000000,0.01868271827697754,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,77837656064.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,98,4.559990|3.000000,0.019091367721557617,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,111116025856.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,99,4.559990|3.000000,0.018832683563232422,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,112460128256.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,100,4.559990|3.000000,0.020624876022338867,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,134027763712.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,101,4.559990|3.000000,0.01866626739501953,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,40604831744.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,102,4.559990|3.000000,0.019308090209960938,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,86309199872.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,103,4.559990|3.000000,0.019426345825195312,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,121550577664.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,104,4.559990|3.000000,0.019588232040405273,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,91653824512.000000,N/A,1,5
