MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,103,4.497596|3.000000,0.01962113380432129,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,102547210240.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,104,4.497596|3.000000,0.019625186920166016,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,114362793984.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,105,4.497596|3.000000,0.019668102264404297,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,110313422848.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,106,4.497596|3.000000,0.01947951316833496,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,116356366336.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,107,4.497596|3.000000,0.018098831176757812,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,42351.695312,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,108,4.497596|3.000000,0.01903557777404785,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,93655212032.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,109,4.497596|3.000000,0.01929330825805664,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,99498754048.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,110,4.497596|3.000000,0.020346641540527344,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,105413599232.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,111,4.497596|3.000000,0.019817113876342773,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,130983690240.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,112,4.497596|3.000000,0.019017696380615234,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,130388500480.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,113,4.497596|3.000000,0.018556833267211914,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,104623726592.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,114,4.497596|3.000000,0.01860785484313965,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,103872954368.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,115,4.497596|3.000000,0.019158124923706055,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,76452806656.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,116,4.497596|3.000000,0.018917083740234375,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,128268754944.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,117,4.497596|3.000000,0.019351959228515625,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,102266470400.000000,N/A,1,5
