MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,50,4.577525|3.000000,0.01950836181640625,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,120798085120.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,51,4.577525|3.000000,0.01876664161682129,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,42425974784.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,52,4.577525|3.000000,0.019100189208984375,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,111168487424.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,53,4.577525|3.000000,0.019866943359375,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,93885022208.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,54,4.577525|3.000000,0.019185781478881836,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,55,4.577525|3.000000,0.0189361572265625,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,121551462400.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,56,4.577525|3.000000,0.019511699676513672,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,131863355392.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,57,4.577525|3.000000,0.019635438919067383,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,142019756032.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,58,4.577525|3.000000,0.019107580184936523,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,49937465344.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,59,4.577525|3.000000,0.018948078155517578,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,80323108864.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,60,4.577525|3.000000,0.018912076950073242,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,39871483904.000000,N/A,1,5
