MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,76,9.711526|3.000000,5.770673990249634,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,77,9.711526|3.000000,5.629528999328613,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,78,9.711526|3.000000,5.656650066375732,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,79,9.711526|3.000000,5.42667293548584,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,80,9.711526|3.000000,5.512048006057739,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,81,9.711526|3.000000,5.60260009765625,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,82,9.711526|3.000000,5.408538103103638,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,83,9.711526|3.000000,5.4090352058410645,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,84,9.711526|3.000000,5.705104827880859,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,85,9.711526|3.000000,5.520586013793945,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,86,9.711526|3.000000,5.569153070449829,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,87,9.711526|3.000000,5.744424819946289,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,88,9.711526|3.000000,5.5848588943481445,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,89,9.711526|3.000000,5.5980658531188965,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,90,9.711526|3.000000,5.565705299377441,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,91,9.711526|3.000000,5.580305814743042,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,92,9.711526|3.000000,5.558295011520386,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,93,9.711526|3.000000,5.945868968963623,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,94,9.711526|3.000000,6.262129068374634,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,95,9.711526|3.000000,6.187165975570679,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,96,9.711526|3.000000,5.903947114944458,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,97,9.711526|3.000000,6.065983057022095,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,98,9.711526|3.000000,5.825677156448364,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,99,9.711526|3.000000,5.900635004043579,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,100,9.711526|3.000000,5.9326701164245605,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,101,9.711526|3.000000,5.917830228805542,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,102,9.711526|3.000000,5.900619029998779,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,103,9.711526|3.000000,5.986678838729858,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,104,9.711526|3.000000,5.809706926345825,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,105,9.711526|3.000000,6.024915933609009,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,106,9.711526|3.000000,5.769960880279541,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,107,9.711526|3.000000,5.974640846252441,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,108,9.711526|3.000000,5.9779908657073975,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,109,9.711526|3.000000,5.959429979324341,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,110,9.711526|3.000000,5.864932060241699,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,111,9.711526|3.000000,5.751188039779663,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,112,9.711526|3.000000,5.783780097961426,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
