MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,50,4.481646|7.000000|1.000000,0.026552677154541016,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,79915286528.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,51,4.481646|7.000000|1.000000,0.027318716049194336,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,79267987456.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,52,4.481646|7.000000|1.000000,0.027596235275268555,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,53,4.481646|7.000000|1.000000,0.02698802947998047,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,97069875200.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,54,4.481646|7.000000|1.000000,0.027585983276367188,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,116414152704.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,55,4.481646|7.000000|1.000000,0.02623605728149414,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,61669531648.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,56,4.481646|7.000000|1.000000,0.027661800384521484,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,70915571712.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,57,4.481646|7.000000|1.000000,0.02713942527770996,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,38186287104.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,58,4.481646|7.000000|1.000000,0.02718186378479004,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,117205835776.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,59,4.481646|7.000000|1.000000,0.027011632919311523,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,119537795072.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,60,4.481646|7.000000|1.000000,0.027055025100708008,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,111018024960.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,61,4.481646|7.000000|1.000000,0.02614116668701172,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,69441626112.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,62,4.481646|7.000000|1.000000,0.02666783332824707,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,95894716416.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,63,4.481646|7.000000|1.000000,0.02722930908203125,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,37822160896.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,64,4.481646|7.000000|1.000000,0.026559114456176758,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,49940180992.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,65,4.481646|7.000000|1.000000,0.02621936798095703,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,934271680.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,66,4.481646|7.000000|1.000000,0.02637767791748047,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,93111943168.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,67,4.481646|7.000000|1.000000,0.026497364044189453,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,91016781824.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,68,4.481646|7.000000|1.000000,0.026962995529174805,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,96370810880.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,69,4.481646|7.000000|1.000000,0.02710103988647461,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,78988132352.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,70,4.481646|7.000000|1.000000,0.02783060073852539,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,135917944832.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,71,4.481646|7.000000|1.000000,0.026210784912109375,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,79109840896.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,72,4.481646|7.000000|1.000000,0.026443958282470703,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,94820827136.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,73,4.481646|7.000000|1.000000,0.02768731117248535,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,108316327936.000000,N/A,2,5
