MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,90,4.492990|3.000000,0.04691290855407715,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,83988144128.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,91,4.492990|3.000000,0.039545297622680664,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,116202872832.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,92,4.492990|3.000000,0.05217456817626953,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,48425943040.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,93,4.492990|3.000000,0.04857468605041504,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,111660449792.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,94,4.492990|3.000000,0.04594540596008301,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,74976714752.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,95,4.492990|3.000000,0.04919791221618652,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,107736334336.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,96,4.492990|3.000000,0.03333616256713867,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,70533373952.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,97,4.492990|3.000000,0.045806169509887695,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,99269361664.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,98,4.492990|3.000000,0.04627370834350586,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,99896467456.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,99,4.492990|3.000000,0.04770374298095703,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,88757927936.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,100,4.492990|3.000000,0.05287742614746094,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,93721526272.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,101,4.492990|3.000000,0.11888647079467773,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,100137418752.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,102,4.492990|3.000000,0.0483250617980957,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,70533586944.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,103,4.492990|3.000000,0.03325819969177246,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,121550585856.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,104,4.492990|3.000000,0.04698753356933594,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,133617295360.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,105,4.492990|3.000000,0.04503750801086426,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,79795765248.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,106,4.492990|3.000000,0.04745292663574219,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,125821485056.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,107,4.492990|3.000000,0.04325604438781738,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,121552478208.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,108,4.492990|3.000000,0.04768657684326172,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,49950904320.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,109,4.492990|3.000000,0.04228687286376953,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,70562742272.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,110,4.492990|3.000000,0.04084920883178711,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,98801082368.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,111,4.492990|3.000000,0.04773545265197754,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,71616258048.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,112,4.492990|3.000000,0.0446622371673584,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,118549864448.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,113,4.492990|3.000000,0.04456591606140137,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,75232198656.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,114,4.492990|3.000000,0.04466652870178223,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,89483517952.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,115,4.492990|3.000000,0.04436063766479492,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,119019577344.000000,N/A,1,5
