MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,85,4.365190|3.000000,0.049855947494506836,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,99498303488.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,86,4.365190|3.000000,0.05003690719604492,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,100422336512.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,87,4.365190|3.000000,0.04993724822998047,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,99035234304.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,88,4.365190|3.000000,0.04254436492919922,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,82474377216.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,89,4.365190|3.000000,0.05118918418884277,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,121552453632.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,90,4.365190|3.000000,0.04783511161804199,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,71561822208.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,91,4.365190|3.000000,0.1000511646270752,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,105291710464.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,92,4.365190|3.000000,0.04790687561035156,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,48554020864.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,93,4.365190|3.000000,0.04978823661804199,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,54131511296.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,94,4.365190|3.000000,0.051308393478393555,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,110830886912.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,95,4.365190|3.000000,0.043233633041381836,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,95703171072.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,96,4.365190|3.000000,0.049822330474853516,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,83567165440.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,97,4.365190|3.000000,0.051186561584472656,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,62831165440.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,98,4.365190|3.000000,0.034386634826660156,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,92255510528.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,99,4.365190|3.000000,0.05401325225830078,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,70533414912.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,100,4.365190|3.000000,0.044686079025268555,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,123992006656.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,101,4.365190|3.000000,0.05003666877746582,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,86435389440.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,102,4.365190|3.000000,0.0444488525390625,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,90030612480.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,103,4.365190|3.000000,0.04803180694580078,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,90626646016.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,104,4.365190|3.000000,0.0399017333984375,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,116604821504.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,105,4.365190|3.000000,0.04738950729370117,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,123285766144.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,106,4.365190|3.000000,0.04723715782165527,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,103535599616.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,107,4.365190|3.000000,0.05167531967163086,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,82501173248.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,108,4.365190|3.000000,0.047805070877075195,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,23720511488.000000,N/A,1,5
