MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,101,4.521828|3.000000,0.01849818229675293,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,72566734848.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,102,4.521828|3.000000,0.0193178653717041,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,99552665600.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,103,4.521828|3.000000,0.019522428512573242,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,68740448256.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,104,4.521828|3.000000,0.01940131187438965,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,101733720064.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,105,4.521828|3.000000,0.019536256790161133,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,54761750528.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,106,4.521828|3.000000,0.01928091049194336,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,111911583744.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,107,4.521828|3.000000,0.01900339126586914,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,57751175168.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,108,4.521828|3.000000,0.01852703094482422,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,101747261440.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,109,4.521828|3.000000,0.01907062530517578,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,90132054016.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,110,4.521828|3.000000,0.02058720588684082,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,90944430080.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,111,4.521828|3.000000,0.019785642623901367,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,118207373312.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,112,4.521828|3.000000,0.01962876319885254,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,137214935040.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,113,4.521828|3.000000,0.018479108810424805,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,82416631808.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,114,4.521828|3.000000,0.018819332122802734,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,69504188416.000000,N/A,1,5
