MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,91,4.625110|3.000000,0.05004453659057617,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,82613043200.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,92,4.625110|3.000000,0.06415605545043945,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86276079616.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,93,4.625110|3.000000,0.05010223388671875,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,57873739776.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,94,4.625110|3.000000,0.06859230995178223,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,35146346496.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,95,4.625110|3.000000,0.049033164978027344,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,130560647168.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,96,4.625110|3.000000,0.05016517639160156,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,123722022912.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,97,4.625110|3.000000,0.050057172775268555,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,118824181760.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,98,4.625110|3.000000,0.033209800720214844,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,82605703168.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,99,4.625110|3.000000,0.03329586982727051,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,79890014208.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,100,4.625110|3.000000,0.05118703842163086,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,85441060864.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,101,4.625110|3.000000,0.03362154960632324,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86276702208.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,102,4.625110|3.000000,0.03386878967285156,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,85924823040.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,103,4.625110|3.000000,0.0511317253112793,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,104,4.625110|3.000000,0.05164074897766113,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,124843368448.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,105,4.625110|3.000000,0.03338742256164551,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,122103848960.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,106,4.625110|3.000000,0.05029106140136719,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,85416607744.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,107,4.625110|3.000000,0.03267478942871094,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,49937440768.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,108,4.625110|3.000000,0.05048036575317383,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,76015083520.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,109,4.625110|3.000000,0.0512237548828125,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,96382550016.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,110,4.625110|3.000000,0.04994082450866699,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,45507825664.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,111,4.625110|3.000000,0.033357858657836914,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,111487188992.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,112,4.625110|3.000000,0.048665523529052734,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,99129999360.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,113,4.625110|3.000000,0.034177541732788086,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,96322658304.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,114,4.625110|3.000000,0.05219149589538574,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,129563918336.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,115,4.625110|3.000000,0.033297061920166016,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,111102410752.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,116,4.625110|3.000000,0.04308342933654785,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,106242793472.000000,N/A,1,5
