MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,60,4.492990|3.000000|1.000000,0.06657218933105469,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,93877346304.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,61,4.492990|3.000000|1.000000,0.06247258186340332,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,70536871936.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,62,4.492990|3.000000|1.000000,0.06223440170288086,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,90303381504.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,63,4.492990|3.000000|1.000000,0.06074714660644531,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,86275407872.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,64,4.492990|3.000000|1.000000,0.07484960556030273,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,82824568832.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,65,4.492990|3.000000|1.000000,0.054851531982421875,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,85469462528.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,66,4.492990|3.000000|1.000000,0.0695643424987793,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,79509725184.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,67,4.492990|3.000000|1.000000,0.06378722190856934,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,93875937280.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,68,4.492990|3.000000|1.000000,0.0667262077331543,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,100399226880.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,69,4.492990|3.000000|1.000000,0.07261347770690918,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,95968296960.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,70,4.492990|3.000000|1.000000,0.06635260581970215,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,128216293376.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,71,4.492990|3.000000|1.000000,0.05499100685119629,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,126487969792.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,72,4.492990|3.000000|1.000000,0.06663084030151367,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,73538174976.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,73,4.492990|3.000000|1.000000,0.061681270599365234,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,116887371776.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,74,4.492990|3.000000|1.000000,0.07128000259399414,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,75717885952.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,75,4.492990|3.000000|1.000000,0.06312203407287598,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,78633066496.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,76,4.492990|3.000000|1.000000,0.060070037841796875,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,140000018432.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,77,4.492990|3.000000|1.000000,0.056841373443603516,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,121877422080.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,78,4.492990|3.000000|1.000000,0.07094144821166992,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,126593572864.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,79,4.492990|3.000000|1.000000,0.06620240211486816,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,95649439744.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,80,4.492990|3.000000|1.000000,0.06214451789855957,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,101604352000.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,81,4.492990|3.000000|1.000000,0.0640716552734375,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,108907167744.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,82,4.492990|3.000000|1.000000,0.07067418098449707,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,70533423104.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,83,4.492990|3.000000|1.000000,0.0808248519897461,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,84,4.492990|3.000000|1.000000,0.06501245498657227,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,106411622400.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,85,4.492990|3.000000|1.000000,0.06750297546386719,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,107838775296.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,86,4.492990|3.000000|1.000000,0.06646013259887695,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,69541617664.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,87,4.492990|3.000000|1.000000,0.0646975040435791,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,96417415168.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,88,4.492990|3.000000|1.000000,0.06914472579956055,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,142410006528.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,89,4.492990|3.000000|1.000000,0.0666348934173584,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,110857166848.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,90,4.492990|3.000000|1.000000,0.14872407913208008,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,96534470656.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,91,4.492990|3.000000|1.000000,0.06661224365234375,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,82639585280.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,92,4.492990|3.000000|1.000000,0.10006451606750488,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,70534545408.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,93,4.492990|3.000000|1.000000,0.06681513786315918,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,86278750208.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,94,4.492990|3.000000|1.000000,0.06670618057250977,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,94066835456.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,95,4.492990|3.000000|1.000000,0.06662559509277344,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,99501555712.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,96,4.492990|3.000000|1.000000,0.06817221641540527,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,123498733568.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,97,4.492990|3.000000|1.000000,0.07278823852539062,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,91300659200.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,98,4.492990|3.000000|1.000000,0.06676816940307617,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,70586736640.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,99,4.492990|3.000000|1.000000,0.06001162528991699,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,50710851584.000000,N/A,2,5
