MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,95,4.751816|3.000000,0.051181793212890625,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,116693565440.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,96,4.751816|3.000000,0.035826683044433594,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,103356956672.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,97,4.751816|3.000000,0.04931473731994629,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,108653346816.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,98,4.751816|3.000000,0.03323531150817871,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,91200045056.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,99,4.751816|3.000000,0.04597878456115723,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,98857025536.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,100,4.751816|3.000000,0.050377845764160156,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,110985830400.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,101,4.751816|3.000000,0.033318519592285156,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,35146330112.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,102,4.751816|3.000000,0.048940181732177734,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,103,4.751816|3.000000,0.05126237869262695,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,78589624320.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,104,4.751816|3.000000,0.03330087661743164,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,122251018240.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,105,4.751816|3.000000,0.04568791389465332,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,115223445504.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,106,4.751816|3.000000,0.04954671859741211,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,131816210432.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,107,4.751816|3.000000,0.04985761642456055,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,60998639616.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,108,4.751816|3.000000,0.03332948684692383,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,96399368192.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,109,4.751816|3.000000,0.04816913604736328,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,82355625984.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,110,4.751816|3.000000,0.07520532608032227,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,90475331584.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,111,4.751816|3.000000,0.037218332290649414,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,146439946240.000000,N/A,1,5
