MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,88,9.504141|3.000000|0.000000,10.032769918441772,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,89,9.504141|3.000000|0.000000,9.873593091964722,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,90,9.504141|3.000000|0.000000,9.908348083496094,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,91,9.504141|3.000000|0.000000,9.867931127548218,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,92,9.504141|3.000000|0.000000,9.780290842056274,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,93,9.504141|3.000000|0.000000,9.941021203994751,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,94,9.504141|3.000000|0.000000,9.89404010772705,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,95,9.504141|3.000000|0.000000,9.896052837371826,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,96,9.504141|3.000000|0.000000,9.746233701705933,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,97,9.504141|3.000000|0.000000,9.997591972351074,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,98,9.504141|3.000000|0.000000,10.071459770202637,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,99,9.504141|3.000000|0.000000,10.167726278305054,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,100,9.504141|3.000000|0.000000,9.72337293624878,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,101,9.504141|3.000000|0.000000,9.48460578918457,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,102,9.504141|3.000000|0.000000,9.860579013824463,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,103,9.504141|3.000000|0.000000,9.815738201141357,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,104,9.504141|3.000000|0.000000,9.90288496017456,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,105,9.504141|3.000000|0.000000,9.66021728515625,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,106,9.504141|3.000000|0.000000,9.93349289894104,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,107,9.504141|3.000000|0.000000,9.659868955612183,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,108,9.504141|3.000000|0.000000,9.903285026550293,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,109,9.504141|3.000000|0.000000,10.022377967834473,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,110,9.504141|3.000000|0.000000,9.815556764602661,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,111,9.504141|3.000000|0.000000,9.56332802772522,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,112,9.504141|3.000000|0.000000,9.460681915283203,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,113,9.504141|3.000000|0.000000,9.692615032196045,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,114,9.504141|3.000000|0.000000,9.856117010116577,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,115,9.504141|3.000000|0.000000,9.821974039077759,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,116,9.504141|3.000000|0.000000,9.661623001098633,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
