MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,83,7.053564|7.000000|2.000000,0.02642989158630371,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,47340969984.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,84,7.053564|7.000000|2.000000,0.02638840675354004,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,81966604288.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,85,7.053564|7.000000|2.000000,0.027418136596679688,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,89118736384.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,86,7.053564|7.000000|2.000000,0.02580428123474121,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,101885771776.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,87,7.053564|7.000000|2.000000,0.02574467658996582,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,83769876480.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,88,7.053564|7.000000|2.000000,0.02676248550415039,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,65761931264.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,89,7.053564|7.000000|2.000000,0.026409387588500977,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,89153626112.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,90,7.053564|7.000000|2.000000,0.025997161865234375,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,59691266048.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,91,7.053564|7.000000|2.000000,0.027936697006225586,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,89607430144.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,92,7.053564|7.000000|2.000000,0.0267941951751709,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,98651865088.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,93,7.053564|7.000000|2.000000,0.026119709014892578,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,4835017216.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,94,7.053564|7.000000|2.000000,0.0268251895904541,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,100760928256.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,95,7.053564|7.000000|2.000000,0.027072429656982422,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,101447106560.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,96,7.053564|7.000000|2.000000,0.027660131454467773,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,97388421120.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,97,7.053564|7.000000|2.000000,0.026531219482421875,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,88936046592.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,98,7.053564|7.000000|2.000000,0.02606987953186035,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,70878175232.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,99,7.053564|7.000000|2.000000,0.026279926300048828,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,59793285120.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,100,7.053564|7.000000|2.000000,0.026095867156982422,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,2744528384.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,101,7.053564|7.000000|2.000000,0.02634453773498535,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,70178783232.000000,N/A,2,5
