MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,74,2061.361084|7.000000,0.02270960807800293,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,5532063744.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,75,2061.361084|7.000000,0.02152848243713379,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,33994276864.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,76,2061.361084|7.000000,0.021203279495239258,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,68628971520.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,77,2061.361084|7.000000,0.02275991439819336,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,67555860480.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,78,2061.361084|7.000000,0.02108287811279297,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,79119220736.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,79,2061.361084|7.000000,0.02237844467163086,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,47081672704.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,80,2061.361084|7.000000,0.021271705627441406,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,33647163392.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,81,2061.361084|7.000000,0.021859407424926758,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,23069509632.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,82,2061.361084|7.000000,0.022351741790771484,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,8747197440.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,83,2061.361084|7.000000,0.0223541259765625,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,541006.125000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,84,2061.361084|7.000000,0.023364543914794922,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,13590237184.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,85,2061.361084|7.000000,0.0219268798828125,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,20332916736.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,86,2061.361084|7.000000,0.0216829776763916,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,41417768960.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,87,2061.361084|7.000000,0.022261381149291992,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,42584625152.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,88,2061.361084|7.000000,0.02282118797302246,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,81288445952.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,89,2061.361084|7.000000,0.022677898406982422,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,50519195648.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,90,2061.361084|7.000000,0.022786855697631836,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,41794572288.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,91,2061.361084|7.000000,0.022046327590942383,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,79334547456.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,92,2061.361084|7.000000,0.02251720428466797,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,45753270272.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,93,2061.361084|7.000000,0.02191638946533203,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,53661835264.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,94,2061.361084|7.000000,0.022317886352539062,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,82970394624.000000,N/A,2,5
