MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,57,7.999949|7.000000|1.000000,0.025915861129760742,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,66786963456.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,58,7.999949|7.000000|1.000000,0.02693009376525879,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,51072143360.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,59,7.999949|7.000000|1.000000,0.027390003204345703,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,101698969600.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,60,7.999949|7.000000|1.000000,0.026233673095703125,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,61822689280.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,61,7.999949|7.000000|1.000000,0.026697397232055664,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,70987685888.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,62,7.999949|7.000000|1.000000,0.026183605194091797,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,106959298560.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,63,7.999949|7.000000|1.000000,0.026850223541259766,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,72358387712.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,64,7.999949|7.000000|1.000000,0.027257680892944336,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,55047213056.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,65,7.999949|7.000000|1.000000,0.025593042373657227,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,48868016128.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,66,7.999949|7.000000|1.000000,0.02652287483215332,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,87212400640.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,67,7.999949|7.000000|1.000000,0.02669811248779297,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,75543502848.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,68,7.999949|7.000000|1.000000,0.026203393936157227,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,34021199872.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,69,7.999949|7.000000|1.000000,0.026556730270385742,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,77519257600.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,70,7.999949|7.000000|1.000000,0.02715778350830078,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,69530787840.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,71,7.999949|7.000000|1.000000,0.026961803436279297,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,99982049280.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,72,7.999949|7.000000|1.000000,0.025331497192382812,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,64488521728.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,73,7.999949|7.000000|1.000000,0.026608943939208984,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,67245756416.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,74,7.999949|7.000000|1.000000,0.027297019958496094,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,83819380736.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,75,7.999949|7.000000|1.000000,0.026180267333984375,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,106422484992.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,76,7.999949|7.000000|1.000000,0.02568340301513672,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,84700659712.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,77,7.999949|7.000000|1.000000,0.026672840118408203,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,96343138304.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,78,7.999949|7.000000|1.000000,0.026271820068359375,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,44364951552.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,79,7.999949|7.000000|1.000000,0.026978254318237305,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,103934754816.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,80,7.999949|7.000000|1.000000,0.02708148956298828,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,55323189248.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,81,7.999949|7.000000|1.000000,0.026790618896484375,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,72548392960.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,82,7.999949|7.000000|1.000000,0.02599167823791504,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,69834588160.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,83,7.999949|7.000000|1.000000,0.026635408401489258,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,69338382336.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,84,7.999949|7.000000|1.000000,0.026586294174194336,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,25318905856.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,85,7.999949|7.000000|1.000000,0.026987314224243164,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,86,7.999949|7.000000|1.000000,0.026299476623535156,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,95090761728.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,87,7.999949|7.000000|1.000000,0.025875091552734375,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,69070823424.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,88,7.999949|7.000000|1.000000,0.027004003524780273,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,83785908224.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,89,7.999949|7.000000|1.000000,0.02632761001586914,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,88217346048.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,90,7.999949|7.000000|1.000000,0.02603316307067871,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,95724167168.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,91,7.999949|7.000000|1.000000,0.027650117874145508,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,68206673920.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,92,7.999949|7.000000|1.000000,0.02681136131286621,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,103297515520.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,93,7.999949|7.000000|1.000000,0.026279926300048828,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,69543387136.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,94,7.999949|7.000000|1.000000,0.02664351463317871,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,66638131200.000000,N/A,2,5
