MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,27,4.492990|3.000000,5.139660120010376,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,28,4.492990|3.000000,5.246010780334473,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,29,4.492990|3.000000,5.045950889587402,3.0,4.670046|3.000000,4.506313|7.000000,7,0.007969,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,30,4.492990|3.000000,5.287731885910034,3.0,4.670046|3.000000,4.506313|7.000000,7,0.007969,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,31,4.492990|3.000000,5.648954153060913,3.0,4.670046|3.000000,4.506313|7.000000,7,0.007969,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,32,4.492990|3.000000,5.218755722045898,3.0,4.670046|3.000000,4.506313|7.000000,7,0.007969,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,33,4.492990|3.000000,5.05996298789978,3.0,4.670046|3.000000,4.506313|7.000000,7,0.007969,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,34,4.492990|3.000000,5.213833808898926,3.0,4.670046|3.000000,4.289158|7.000000,7,0.014995,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,35,4.492990|3.000000,5.262970924377441,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,36,4.492990|3.000000,5.238456964492798,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,37,4.492990|3.000000,5.04210090637207,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,38,4.492990|3.000000,5.28088116645813,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,39,4.492990|3.000000,5.130983114242554,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,40,4.492990|3.000000,5.15356183052063,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,41,4.492990|3.000000,5.4254279136657715,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,42,4.492990|3.000000,5.1345391273498535,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,43,4.492990|3.000000,5.378018140792847,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,44,4.492990|3.000000,5.163290023803711,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,45,4.492990|3.000000,5.287616968154907,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,46,4.492990|3.000000,5.273697137832642,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,47,4.492990|3.000000,5.334090948104858,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
