MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,55,4.633978|3.000000|1.000000,0.02618265151977539,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,61203775488.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,56,4.633978|3.000000|1.000000,0.027451038360595703,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,70685310976.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,57,4.633978|3.000000|1.000000,0.02671027183532715,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,37224882176.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,58,4.633978|3.000000|1.000000,0.027196884155273438,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,117172969472.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,59,4.633978|3.000000|1.000000,0.02696537971496582,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,119480254464.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,60,4.633978|3.000000|1.000000,0.0269320011138916,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,110935318528.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,61,4.633978|3.000000|1.000000,0.026107072830200195,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,69408276480.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,62,4.633978|3.000000|1.000000,0.02661728858947754,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,95847645184.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,63,4.633978|3.000000|1.000000,0.027176380157470703,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,36826902528.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,64,4.633978|3.000000|1.000000,0.026578903198242188,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,49940140032.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,65,4.633978|3.000000|1.000000,0.02602076530456543,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,947730304.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,66,4.633978|3.000000|1.000000,0.02624678611755371,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,93235429376.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,67,4.633978|3.000000|1.000000,0.026423215866088867,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,90762584064.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,68,4.633978|3.000000|1.000000,0.027094602584838867,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,96442458112.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,69,4.633978|3.000000|1.000000,0.026732444763183594,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,78606434304.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,70,4.633978|3.000000|1.000000,0.027985095977783203,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,135971790848.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,71,4.633978|3.000000|1.000000,0.0262143611907959,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,79237988352.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,72,4.633978|3.000000|1.000000,0.026128530502319336,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,94750810112.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,73,4.633978|3.000000|1.000000,0.027484416961669922,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,108083052544.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,74,4.633978|3.000000|1.000000,0.02791571617126465,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,79385886720.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,75,4.633978|3.000000|1.000000,0.025651931762695312,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,83442868224.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,76,4.633978|3.000000|1.000000,0.027043819427490234,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,68842741760.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,77,4.633978|3.000000|1.000000,0.0272979736328125,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,82361016320.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,78,4.633978|3.000000|1.000000,0.027729511260986328,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,155921465344.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,79,4.633978|3.000000|1.000000,0.027085542678833008,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,111098978304.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,80,4.633978|3.000000|1.000000,0.027800559997558594,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,105179996160.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,81,4.633978|3.000000|1.000000,0.026460886001586914,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,96535437312.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,82,4.633978|3.000000|1.000000,0.02666926383972168,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,113776173056.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,83,4.633978|3.000000|1.000000,0.027687549591064453,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,115677806592.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,84,4.633978|3.000000|1.000000,0.026912689208984375,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,87625424896.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,85,4.633978|3.000000|1.000000,0.026737689971923828,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,70597255168.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,86,4.633978|3.000000|1.000000,0.027122020721435547,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,120948310016.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,87,4.633978|3.000000|1.000000,0.027876853942871094,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,70574891008.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,88,4.633978|3.000000|1.000000,0.026449918746948242,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,90763624448.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,89,4.633978|3.000000|1.000000,0.02763199806213379,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,111042248704.000000,N/A,2,5
