MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,54,4.559990|3.000000,5.1013829708099365,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,55,4.559990|3.000000,4.857224941253662,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,56,4.559990|3.000000,5.010715007781982,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,57,4.559990|3.000000,5.033651113510132,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,58,4.559990|3.000000,5.106114864349365,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,59,4.559990|3.000000,5.003261089324951,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,60,4.559990|3.000000,5.176700115203857,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,61,4.559990|3.000000,5.171300172805786,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,62,4.559990|3.000000,5.17942214012146,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,63,4.559990|3.000000,5.02307915687561,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,64,4.559990|3.000000,4.941067934036255,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,65,4.559990|3.000000,5.228478908538818,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,66,4.559990|3.000000,5.154664993286133,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,67,4.559990|3.000000,5.174336910247803,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,68,4.559990|3.000000,5.13627815246582,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,69,4.559990|3.000000,5.047409772872925,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,70,4.559990|3.000000,5.329880952835083,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,71,4.559990|3.000000,5.232605934143066,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,72,4.559990|3.000000,5.14049506187439,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,73,4.559990|3.000000,5.371025085449219,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,74,4.559990|3.000000,5.0057902336120605,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,75,4.559990|3.000000,4.877329111099243,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,76,4.559990|3.000000,5.1632678508758545,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,77,4.559990|3.000000,4.9737348556518555,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
