MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,54,7.468781|23.000000|3.000000,0.02637767791748047,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,32309325824.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,55,7.468781|23.000000|3.000000,0.026021242141723633,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,18623639552.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,56,7.468781|23.000000|3.000000,0.027590036392211914,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,103000965120.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,57,7.468781|23.000000|3.000000,0.026417970657348633,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,37688778752.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,58,7.468781|23.000000|3.000000,0.026901721954345703,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,71675379712.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,59,7.468781|23.000000|3.000000,0.02773571014404297,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,103565172736.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,60,7.468781|23.000000|3.000000,0.02628493309020996,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,73097756672.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,61,7.468781|23.000000|3.000000,0.02687692642211914,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,54874488832.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,62,7.468781|23.000000|3.000000,0.026534557342529297,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,36066136064.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,63,7.468781|23.000000|3.000000,0.02691960334777832,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,66150912000.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,64,7.468781|23.000000|3.000000,0.026506900787353516,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,65506287616.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,65,7.468781|23.000000|3.000000,0.025849580764770508,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,58816360448.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,66,7.468781|23.000000|3.000000,0.026575803756713867,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,67521658880.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,67,7.468781|23.000000|3.000000,0.02637171745300293,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,93214130176.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,68,7.468781|23.000000|3.000000,0.026744842529296875,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,55720218624.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,69,7.468781|23.000000|3.000000,0.064666748046875,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,70,7.468781|23.000000|3.000000,0.02686619758605957,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,79155929088.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,71,7.468781|23.000000|3.000000,0.02744889259338379,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,57257467904.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,72,7.468781|23.000000|3.000000,0.025757312774658203,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,102712139776.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,73,6.788783|7.000000|2.000000,0.02635478973388672,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,99486121984.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,74,6.788783|7.000000|2.000000,0.028024911880493164,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,80745971712.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,75,6.788783|7.000000|2.000000,0.026203155517578125,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,92497764352.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,76,6.788783|7.000000|2.000000,0.025469541549682617,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,78091698176.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,77,6.788783|7.000000|2.000000,0.026761770248413086,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,59363631104.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,78,6.788783|7.000000|2.000000,0.026783466339111328,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,101224980480.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,79,6.788783|7.000000|2.000000,0.026671648025512695,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,68098588672.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,80,6.788783|7.000000|2.000000,0.026938199996948242,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,110475927552.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,81,6.788783|7.000000|2.000000,0.026890277862548828,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,84358955008.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,82,6.788783|7.000000|2.000000,0.02585625648498535,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,79131525120.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,83,6.788783|7.000000|2.000000,0.026582956314086914,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,47060332544.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,84,6.788783|7.000000|2.000000,0.02660393714904785,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,81378263040.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,85,6.788783|7.000000|2.000000,0.027409791946411133,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,88952438784.000000,N/A,2,5
