MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,77,7.872597|7.000000|1.000000,0.0267488956451416,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,80499638272.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,78,7.872597|7.000000|1.000000,0.026754379272460938,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,115602505728.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,79,7.872597|7.000000|1.000000,0.026874303817749023,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,97527447552.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,80,7.872597|7.000000|1.000000,0.026811838150024414,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,77317251072.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,81,7.872597|7.000000|1.000000,0.026734590530395508,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,93788725248.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,82,7.872597|7.000000|1.000000,0.026049375534057617,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,81567793152.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,83,7.872597|7.000000|1.000000,0.026646137237548828,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,113424777216.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,84,7.872597|7.000000|1.000000,0.02640676498413086,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,81611816960.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,85,7.872597|7.000000|1.000000,0.027405738830566406,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,98761195520.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,86,7.872597|7.000000|1.000000,0.025765657424926758,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,68464140288.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,87,7.872597|7.000000|1.000000,0.025804758071899414,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,92537806848.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,88,7.872597|7.000000|1.000000,0.026953697204589844,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,111970369536.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,89,7.872597|7.000000|1.000000,0.0263519287109375,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,120865751040.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,90,7.872597|7.000000|1.000000,0.026284456253051758,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,76672532480.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,91,7.872597|7.000000|1.000000,0.027830123901367188,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,73956417536.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,92,7.872597|7.000000|1.000000,0.02672600746154785,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,98709618688.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,93,7.872597|7.000000|1.000000,0.02613997459411621,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,4853250048.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,94,7.872597|7.000000|1.000000,0.02695918083190918,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,100574806016.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,95,7.872597|7.000000|1.000000,0.027114152908325195,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,101703221248.000000,N/A,2,5
