MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,63,4.557420|3.000000|1.000000,0.027208566665649414,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,99518521344.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,64,4.557420|3.000000|1.000000,0.026522159576416016,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,82696814592.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,65,4.557420|3.000000|1.000000,0.026109695434570312,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,85415403520.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,66,4.557420|3.000000|1.000000,0.026214599609375,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,79683567616.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,67,4.557420|3.000000|1.000000,0.02678370475769043,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,94014455808.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,68,4.557420|3.000000|1.000000,0.02661919593811035,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,100581654528.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,69,4.557420|3.000000|1.000000,0.02682352066040039,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,95807463424.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,70,4.557420|3.000000|1.000000,0.028083086013793945,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,128091594752.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,71,4.557420|3.000000|1.000000,0.02602982521057129,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,126314971136.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,72,4.557420|3.000000|1.000000,0.02621316909790039,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,73786810368.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,73,4.557420|3.000000|1.000000,0.02619004249572754,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,117004492800.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,74,4.557420|3.000000|1.000000,0.027680158615112305,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,75768938496.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,75,4.557420|3.000000|1.000000,0.025983095169067383,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,78750146560.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,76,4.557420|3.000000|1.000000,0.0264890193939209,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,140000018432.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,77,4.557420|3.000000|1.000000,0.02732682228088379,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,121912762368.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,78,4.557420|3.000000|1.000000,0.028025150299072266,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,126753980416.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,79,4.557420|3.000000|1.000000,0.027254104614257812,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,95649382400.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,80,4.557420|3.000000|1.000000,0.027373790740966797,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,101872713728.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,81,4.557420|3.000000|1.000000,0.026376724243164062,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,108990046208.000000,N/A,2,5
